study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,11,1,test item,1-2,resized_A_B168.png,Frau,136,resized_B_A156.png,Bär,10,resized_B_B19.png,Krawatte,8,resized_B_B177.png,Schloss,6,resized_A_B168.png,Frau,3,resized_B_A181.png,Wolf,16,resized_B_B143.png,Tanne,12,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,0,0,0,140.0402783999998,,0.0011340999999447376,10.067186999999649,10.06719669999984,137.82895689999987,141.81557619999967,1,3,[0.06333333 0.24416667],2.2115309999999226,144.71869030000016,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,11,2,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A156.png,Bär,10,resized_B_B19.png,Krawatte,8,resized_B_B177.png,Schloss,6,resized_A_B168.png,Frau,3,resized_B_A181.png,Wolf,16,resized_B_B143.png,Tanne,12,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,1,1,1,144.86174299999948,,,,,,146.72000709999975,1,16,[ 0.24333333 -0.25833333],3.803051000000778,151.64158099999986,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,3,3,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B109.png,Boot,13,resized_B_B175.png,Propeller,2,resized_B_A36.png,Stern,5,resized_B_B167.png,Fliege,14,resized_B_B49.png,Magnet,16,resized_A_A73.png,Klinge,3,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,2,2,2,151.7934639999994,,,,,,153.65895519999958,0,2,[-0.09333333  0.27666667],3.285997999999381,162.66736140000012,1,5,[-0.24333333  0.08      ],8.340834199999335,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,3,4,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_B109.png,Boot,13,resized_B_B175.png,Propeller,2,resized_B_A36.png,Stern,5,resized_B_B167.png,Fliege,14,resized_B_B49.png,Magnet,16,resized_A_A73.png,Klinge,3,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,3,3,3,162.80855520000023,,,,,,164.66831289999936,1,14,[-0.08666667 -0.23833333],5.705181400000583,170.99093859999994,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,14,5,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_A134.png,Vogel,11,resized_B_A135.png,Kamel,13,resized_B_A153.png,Schwein,14,resized_B_A129.png,Huhn,7,resized_B_A11.png,Medaille,9,resized_B_A70.png,Brunnen,1,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,4,4,4,171.14031309999973,,,,,,173.00856509999994,1,9,[-0.21916667 -0.0775    ],3.0197047000001476,176.67921250000018,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,14,6,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A134.png,Vogel,11,resized_B_A135.png,Kamel,13,resized_B_A153.png,Schwein,14,resized_B_A129.png,Huhn,7,resized_B_A11.png,Medaille,9,resized_B_A70.png,Brunnen,1,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,5,5,5,176.82982290000018,,,,,,178.69680460000018,1,1,[-0.275       0.24666667],3.436601800000062,182.78434749999997,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,4,7,test item,2-2,resized_B_B164.png,kimono,182,resized_B_A147.png,Hund,7,resized_A_A139.png,Gans,1,resized_B_A20.png,Grill,10,resized_A_A74.png,Rubin,16,resized_A_B194.png,Raute,14,resized_B_B164.png,kimono,8,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,6,6,6,182.92597719999958,,,,,,184.78514449999966,1,8,[0.27333333 0.07416667],2.953011599999627,188.65623249999953,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,4,8,test item,1-2,resized_A_A74.png,Rubin,165,resized_B_A147.png,Hund,7,resized_A_A139.png,Gans,1,resized_B_A20.png,Grill,10,resized_A_A74.png,Rubin,16,resized_A_B194.png,Raute,14,resized_B_B164.png,kimono,8,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,7,7,7,188.80519719999938,,,,,,190.67344859999957,1,16,[ 0.21666667 -0.24      ],4.037404099999549,195.39496559999952,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,2,9,test item,1-2,resized_B_B73.png,Treppe,137,resized_B_B155.png,Messer,2,resized_B_A197.png,Hirsch,4,resized_A_B150.png,Rakete,3,resized_B_B73.png,Treppe,6,resized_A_A122.png,Sturz,11,resized_B_B206.png,Axt,5,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,8,8,8,195.54852409999967,,,,,,197.4126325999996,1,6,[-0.09583333  0.105     ],3.7368249000001015,201.8839022000002,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
LEALCO-EEG,104.0,1,A-B,4.0,1.0,training,1,A,2,10,test item,2-2,resized_B_B206.png,Axt,179,resized_B_B155.png,Messer,2,resized_B_A197.png,Hirsch,4,resized_A_B150.png,Rakete,3,resized_B_B73.png,Treppe,6,resized_A_A122.png,Sturz,11,resized_B_B206.png,Axt,5,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,9,9,9,202.03306040000007,,,,,,203.90136579999944,1,5,[-0.2575      0.09083333],13.428580700000566,218.28087789999972,,,,,,,,,,,104,A,1,2024-10-18_10h56.37.225,task,2023.2.2,59.95728642907309,2024-10-18 10h56.50.398708 +0200,
