study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,2,1,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A93.png,Haus,7,resized_B_A135.png,Kamel,10,resized_A_B56.png,Stuhl,1,resized_A_A113.png,Engel,8,resized_A_B39.png,Sessel,2,resized_B_A70.png,Brunnen,16,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,0,0,0,54.760721100028604,,0.001042800024151802,10.069612700026482,10.069621100032236,52.55518349999329,56.54180519998772,1,16,[ 0.23666667 -0.24      ],2.520152299955953,59.51181350002298,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,2,2,test item,1-2,resized_A_A113.png,Engel,139,resized_A_A93.png,Haus,7,resized_B_A135.png,Kamel,10,resized_A_B56.png,Stuhl,1,resized_A_A113.png,Engel,8,resized_A_B39.png,Sessel,2,resized_B_A70.png,Brunnen,16,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,1,1,1,59.65062319999561,,,,,,61.512699600018095,1,8,[0.33083333 0.09416667],1.384790799987968,63.365117600013036,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,1,3,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A68.png,Lampe,15,resized_A_B78.png,Pfeil,8,resized_A_B55.png,Schlange,2,resized_B_A181.png,Wolf,6,resized_A_B22.png,Kreisel,14,resized_A_B15.png,Schwangere,12,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,2,2,2,63.507849299989175,,,,,,65.36594609997701,1,12,[ 0.29666667 -0.1075    ],1.4685701000271365,67.28503820003243,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,1,4,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A68.png,Lampe,15,resized_A_B78.png,Pfeil,8,resized_A_B55.png,Schlange,2,resized_B_A181.png,Wolf,6,resized_A_B22.png,Kreisel,14,resized_A_B15.png,Schwangere,12,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,3,3,3,67.43043539999053,,,,,,69.28592300001765,1,6,[-0.09333333  0.0575    ],0.7343929000198841,70.7379162000143,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,7,5,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A147.png,Hund,14,resized_B_A142.png,Reiter,5,resized_B_A37.png,Tasse,13,resized_B_A33.png,Roboter,10,resized_B_B49.png,Magnet,4,resized_B_A176.png,Trophäe,15,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,4,4,4,70.87524050002685,,,,,,72.73883470002329,1,10,[-0.04083333 -0.06333333],1.5683868999476545,74.75799479999114,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,7,6,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A147.png,Hund,14,resized_B_A142.png,Reiter,5,resized_B_A37.png,Tasse,13,resized_B_A33.png,Roboter,10,resized_B_B49.png,Magnet,4,resized_B_A176.png,Trophäe,15,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,5,5,5,74.9024104999844,,,,,,76.75911630003247,1,15,[ 0.11083333 -0.21      ],0.9008458000025712,78.36064239998814,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,13,7,test item,2-2,resized_B_A23.png,Flasche,153,resized_A_A141.png,Pferd,14,resized_B_C01.png,Kaninchen,4,resized_B_A153.png,Schwein,7,resized_B_B193.png,Auge,12,resized_B_A23.png,Flasche,6,resized_A_A74.png,Rubin,1,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,6,6,6,78.52292980003403,,,,,,80.36194039997645,1,6,[-0.08        0.05833333],1.8018704999703914,82.69798830000218,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,13,8,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_A141.png,Pferd,14,resized_B_C01.png,Kaninchen,4,resized_B_A153.png,Schwein,7,resized_B_B193.png,Auge,12,resized_B_A23.png,Flasche,6,resized_A_A74.png,Rubin,1,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,7,7,7,82.85769059997983,,,,,,84.69887610001024,1,1,[-0.21666667  0.2275    ],0.8678352999850176,86.13424980000127,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,11,9,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_A134.png,Vogel,3,resized_A_A148.png,Giraffe,4,resized_B_B73.png,Treppe,11,resized_A_B43.png,Parfüm,16,resized_B_B143.png,Tanne,9,resized_A_B32.png,Kamin,8,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,8,8,8,86.26878470001975,,,,,,88.13513329997659,1,11,[ 0.03333333 -0.0275    ],1.7184092999668792,90.52154270000756,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,11,10,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_A134.png,Vogel,3,resized_A_A148.png,Giraffe,4,resized_B_B73.png,Treppe,11,resized_A_B43.png,Parfüm,16,resized_B_B143.png,Tanne,9,resized_A_B32.png,Kamin,8,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,9,9,9,90.65553460002411,,,,,,92.52216839999892,1,8,[0.28166667 0.06833333],1.9854466000106186,95.15864729997702,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,12,11,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_B192.png,Katze,7,resized_B_B19.png,Krawatte,5,resized_B_A20.png,Grill,16,resized_A_B20.png,Kerze,9,resized_B_B152.png,Säge,12,resized_B_A54.png,Flamme,2,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,10,10,10,95.29710249998607,,,,,,97.15938279998954,1,9,[-0.22333333 -0.04666667],2.269084199971985,99.9792961999774,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
LEALCO-EEG,107.0,1,B-A,3.0,1.0,training,5,A,12,12,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_B192.png,Katze,7,resized_B_B19.png,Krawatte,5,resized_B_A20.png,Grill,16,resized_A_B20.png,Kerze,9,resized_B_B152.png,Säge,12,resized_B_A54.png,Flamme,2,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,11,11,11,100.12236450001365,,,,,,101.99681969999801,1,2,[-0.05583333  0.24333333],2.1855871999869123,104.84997400001157,,,107,A,5,2024-10-22_10h36.30.534,task,2023.2.2,59.90111524609582,2024-10-22 10h36.39.663421 +0200,
