study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,6,1,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A147.png,Hund,2,resized_A_A02.png,Mühle,3,resized_B_B177.png,Schloss,7,resized_B_B73.png,Treppe,16,resized_B_A181.png,Wolf,1,resized_A_A73.png,Klinge,6,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,0,0,0,33.51037910004379,,0.001033300010021776,10.060368000005838,10.060376900015399,31.301311500021257,35.28891070000827,0,2,[-0.06916667  0.2375    ],2.7202511000214145,1,1,[-0.27        0.24583333],4.987859899993055,41.061353700002655,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,6,2,test item,1-2,resized_B_B73.png,Treppe,137,resized_B_A147.png,Hund,2,resized_A_A02.png,Mühle,3,resized_B_B177.png,Schloss,7,resized_B_B73.png,Treppe,16,resized_B_A181.png,Wolf,1,resized_A_A73.png,Klinge,6,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,1,1,1,41.20462440000847,,,,,,43.06198400002904,1,16,[ 0.28  -0.245],2.6189169000135735,,,,,46.19891400000779,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,7,3,test item,1-2,resized_B_A11.png,Medaille,167,resized_B_A156.png,Bär,16,resized_B_A197.png,Hirsch,4,resized_A_B150.png,Rakete,13,resized_B_A129.png,Huhn,1,resized_B_A11.png,Medaille,15,resized_B_A70.png,Brunnen,2,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,2,2,2,46.332117400015704,,,,,,48.19983030000003,1,15,[ 0.1125 -0.245 ],2.75273330003256,,,,,51.587052200047765,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,7,4,test item,2-2,resized_B_A70.png,Brunnen,183,resized_B_A156.png,Bär,16,resized_B_A197.png,Hirsch,4,resized_A_B150.png,Rakete,13,resized_B_A129.png,Huhn,1,resized_B_A11.png,Medaille,15,resized_B_A70.png,Brunnen,2,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,3,3,3,51.729304900043644,,,,,,53.58771050005453,1,2,[-0.07333333  0.19666667],3.1198931999970227,,,,,57.47462870000163,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,2,5,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B54.png,Telefon,9,resized_B_B19.png,Krawatte,6,resized_B_B180.png,Geist,5,resized_B_A188.png,Tür,16,resized_B_B143.png,Tanne,3,resized_B_B206.png,Axt,4,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,4,4,4,57.607301100040786,,,,,,59.476166900014505,0,9,[-0.2325     -0.07416667],5.054160500003491,1,4,[0.23416667 0.26083333],9.191399000003003,69.86886960000265,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,2,6,test item,1-2,resized_B_A188.png,Tür,141,resized_A_B54.png,Telefon,9,resized_B_B19.png,Krawatte,6,resized_B_B180.png,Geist,5,resized_B_A188.png,Tür,16,resized_B_B143.png,Tanne,3,resized_B_B206.png,Axt,4,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,5,5,5,70.01185190002434,,,,,,71.88629400002537,1,16,[ 0.25416667 -0.23833333],3.069980099971872,,,,,75.65706779999891,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,9,7,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_B155.png,Messer,13,resized_B_C01.png,Kaninchen,14,resized_A_B56.png,Stuhl,12,resized_A_B168.png,Frau,15,resized_A_B55.png,Schlange,2,resized_B_A23.png,Flasche,10,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,6,6,6,75.79796280001756,,,,,,77.65809530002298,1,10,[-0.07666667 -0.08416667],2.8693198999972083,,,,,81.22863030002918,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,9,8,test item,1-2,resized_A_B168.png,Frau,136,resized_B_B155.png,Messer,13,resized_B_C01.png,Kaninchen,14,resized_A_B56.png,Stuhl,12,resized_A_B168.png,Frau,15,resized_A_B55.png,Schlange,2,resized_B_A23.png,Flasche,10,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,7,7,7,81.37568779999856,,,,,,83.24604060000274,1,15,[ 0.07583333 -0.2275    ],3.336386599985417,,,,,87.0667646000511,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,14,9,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_B157.png,Hammer,8,resized_A_A148.png,Giraffe,1,resized_B_A36.png,Stern,13,resized_B_A20.png,Grill,5,resized_A_B194.png,Raute,12,resized_A_B32.png,Kamin,15,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,8,8,8,87.20576770004118,,,,,,89.06755780003732,1,15,[ 0.07333333 -0.235     ],3.0029017999768257,,,,,92.57135260000359,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
LEALCO-EEG,108.0,1,B-A,4.0,1.0,training,1,A,14,10,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B157.png,Hammer,8,resized_A_A148.png,Giraffe,1,resized_B_A36.png,Stern,13,resized_B_A20.png,Grill,5,resized_A_B194.png,Raute,12,resized_A_B32.png,Kamin,15,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,9,9,9,92.71333779999986,,,,,,94.57217550004134,1,13,[-0.24416667 -0.22833333],2.8862669999944046,,,,,98.0593293000129,,,,,,,108,A,1,2024-10-22_12h45.29.395,task,2023.2.2,60.06153906703136,2024-10-22 12h45.35.909101 +0200,
