study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,5,1,test item,2-1,resized_A_A73.png,Klinge,177,resized_A_B157.png,Hammer,10,resized_B_A135.png,Kamel,16,resized_A_B08.png,Person,15,resized_B_A43.png,Blatt,8,resized_A_B15.png,Schwangere,6,resized_A_A73.png,Klinge,5,7.23,12.94,5.75,2.83,3.25,1.96,2.9,2.41,2.82,10.79,2.44,LF,-1.3,3.68,5.14,6.37,2,6,nn,2.346247672,4.308266631,0,0,0,0,43.753951199993026,,0.001075899985153228,10.0608351000119,10.060845000029076,41.5432831000071,45.530061100027524,1,5,[-0.25666667  0.0775    ],2.3537241000449285,48.39964429999236,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,5,2,test item,1-1,resized_B_A43.png,Blatt,159,resized_A_B157.png,Hammer,10,resized_B_A135.png,Kamel,16,resized_A_B08.png,Person,15,resized_B_A43.png,Blatt,8,resized_A_B15.png,Schwangere,6,resized_A_A73.png,Klinge,5,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,1,1,1,48.55082190001849,,,,,,50.4175341000082,1,8,[0.25833333 0.06416667],2.5358190999832004,53.50455070001772,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,7,3,test item,1-1,resized_A_B22.png,Kreisel,158,resized_A_A134.png,Vogel,9,resized_B_B175.png,Propeller,10,resized_A_A113.png,Engel,6,resized_B_A23.png,Flasche,16,resized_A_B22.png,Kreisel,7,resized_B_B152.png,Säge,4,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,2,2,2,53.6443517000298,,,,,,55.50504339998588,1,7,[0.0275     0.02916667],1.768854999972973,57.70802720001666,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,7,4,test item,2-1,resized_B_B152.png,Säge,171,resized_A_A134.png,Vogel,9,resized_B_B175.png,Propeller,10,resized_A_A113.png,Engel,6,resized_B_A23.png,Flasche,16,resized_A_B22.png,Kreisel,7,resized_B_B152.png,Säge,4,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,3,3,3,57.851941899978556,,,,,,59.708720099995844,1,4,[0.28166667 0.24083333],2.602674499968998,62.895596700022,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,12,5,test item,2-1,resized_A_B194.png,Raute,173,resized_A_B192.png,Katze,12,resized_B_A150.png,Känguru,7,resized_B_A06.png,Hut,10,resized_B_B73.png,Treppe,8,resized_A_B194.png,Raute,3,resized_B_B206.png,Axt,4,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,4,4,4,63.041871800029185,,,,,,64.89638920000289,1,3,[0.05833333 0.22333333],2.485851500008721,68.01651929999935,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,12,6,test item,1-1,resized_B_A06.png,Hut,135,resized_A_B192.png,Katze,12,resized_B_A150.png,Känguru,7,resized_B_A06.png,Hut,10,resized_B_B73.png,Treppe,8,resized_A_B194.png,Raute,3,resized_B_B206.png,Axt,4,25,30.95,4.37,3.43,3.07,2.11,3.25,2.14,3.15,45.91,3.067,HF,None,None,None,4,1,3,nn,33.34614722,41.24327353,0,5,5,5,68.16294579999521,,,,,,70.03393570001936,1,10,[-0.05666667 -0.09333333],1.8354810000164434,72.45360429998254,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,3,7,test item,2-1,resized_A_A122.png,Sturz,176,resized_A_A90.png,Fabrik,8,resized_B_A140.png,Flamingo,4,resized_A_B168.png,Frau,10,resized_B_A20.png,Grill,3,resized_A_A122.png,Sturz,1,resized_A_B33.png,Zünder,7,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,6,6,6,72.59533380001085,,,,,,74.4544677999802,1,1,[-0.21916667  0.23083333],2.352359999960754,77.40741320000961,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,3,8,test item,1-1,resized_B_A20.png,Grill,160,resized_A_A90.png,Fabrik,8,resized_B_A140.png,Flamingo,4,resized_A_B168.png,Frau,10,resized_B_A20.png,Grill,3,resized_A_A122.png,Sturz,1,resized_A_B33.png,Zünder,7,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,7,7,7,77.54690880002454,,,,,,79.40861280000536,1,3,[0.07416667 0.22083333],2.152199199947063,82.09509419999085,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,10,9,test item,2-1,resized_B_A37.png,Tasse,144,resized_B_A187.png,Brücke,11,resized_A_A02.png,Mühle,14,resized_A_B56.png,Stuhl,5,resized_B_A185.png,Gesicht,13,resized_B_A37.png,Tasse,4,resized_B_B164.png,kimono,15,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,8,8,8,82.23620089999167,,,,,,84.09592779999366,1,4,[0.23333333 0.23416667],2.5025093000149354,87.14936260000104,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
LEALCO-EEG,109.0,1,A-B,1.0,2.0,training,5,A,10,10,test item,1-1,resized_A_B56.png,Stuhl,133,resized_B_A187.png,Brücke,11,resized_A_A02.png,Mühle,14,resized_A_B56.png,Stuhl,5,resized_B_A185.png,Gesicht,13,resized_B_A37.png,Tasse,4,resized_B_B164.png,kimono,15,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,9,9,9,87.29153699998278,,,,,,89.15017729997635,1,5,[-0.24666667  0.04583333],4.504323700035457,94.28881090000505,,,,,,,109,A,5,2024-10-23_14h16.28.474,task,2023.2.2,59.932312440247436,2024-10-23 14h16.36.781212 +0200,
