study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,13,1,test item,2-2,resized_B_B164.png,kimono,182,resized_A_A93.png,Haus,1,resized_B_A150.png,Känguru,6,resized_A_A100.png,Ruderer,15,resized_A_B15.png,Schwangere,9,resized_B_B152.png,Säge,12,resized_B_B164.png,kimono,4,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,0,0,0,39.05243999999948,,0.0010417000157758594,10.062741100031417,10.06275129999267,36.84368500002893,40.847018800035585,1,4,[0.2475     0.24833333],4.038500500028022,45.66870660003042,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,13,2,test item,1-2,resized_A_B15.png,Schwangere,170,resized_A_A93.png,Haus,1,resized_B_A150.png,Känguru,6,resized_A_A100.png,Ruderer,15,resized_A_B15.png,Schwangere,9,resized_B_B152.png,Säge,12,resized_B_B164.png,kimono,4,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,1,1,1,45.817578300018795,,,,,,47.68610009999247,1,9,[-0.225 -0.06 ],1.6683256999822333,50.05555920000188,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,1,3,test item,1-2,resized_A_B168.png,Frau,136,resized_A_B109.png,Boot,16,resized_B_B70.png,Quadrat,2,resized_A_B168.png,Frau,15,resized_A_A179.png,Drachen,4,resized_B_A43.png,Blatt,5,resized_A_A122.png,Sturz,1,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,2,2,2,50.20729960000608,,,,,,52.07310410001082,1,15,[ 0.11166667 -0.22      ],2.9027253999956883,55.66040550003527,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,1,4,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_B109.png,Boot,16,resized_B_B70.png,Quadrat,2,resized_A_B168.png,Frau,15,resized_A_A179.png,Drachen,4,resized_B_A43.png,Blatt,5,resized_A_A122.png,Sturz,1,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,3,3,3,55.8121722000069,,,,,,57.677805999992415,0,1,[-0.2125      0.21666667],2.736152400029823,71.07325770001626,0,16,[ 0.28083333 -0.24666667],6.922813799988944,1,4,[0.20416667 0.205     ],11.460063499980606,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,8,5,test item,2-2,resized_A_B08.png,Person,154,resized_B_A156.png,Bär,9,resized_B_A142.png,Reiter,1,resized_B_B24.png,Baby,6,resized_A_B55.png,Schlange,5,resized_A_B08.png,Person,12,resized_B_B49.png,Magnet,8,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,4,4,4,71.21110650000628,,,,,,73.07412970002042,0,6,[-0.04666667  0.03583333],3.052833100024145,80.54817930003628,1,12,[ 0.23583333 -0.035     ],6.238985300005879,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,8,6,test item,1-2,resized_B_B24.png,Baby,142,resized_B_A156.png,Bär,9,resized_B_A142.png,Reiter,1,resized_B_B24.png,Baby,6,resized_A_B55.png,Schlange,5,resized_A_B08.png,Person,12,resized_B_B49.png,Magnet,8,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,5,5,5,80.69389589998173,,,,,,82.56554630002938,0,9,[-0.22666667 -0.06416667],3.8200253999675624,90.1560582999955,1,6,[-0.15        0.11333333],6.4222018999862485,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,7,7,test item,2-2,resized_A_B33.png,Zünder,180,resized_B_A147.png,Hund,2,resized_B_A132.png,Ente,11,resized_B_B177.png,Schloss,14,resized_A_B139.png,Trichter,10,resized_B_B143.png,Tanne,3,resized_A_B33.png,Zünder,13,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,6,6,6,90.297043700004,,,,,,92.15698800003156,0,3,[0.1125     0.24833333],4.8877167999744415,101.79934700002195,1,13,[-0.2925     -0.24416667],8.841182900010608,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,7,8,test item,1-2,resized_A_B139.png,Trichter,169,resized_B_A147.png,Hund,2,resized_B_A132.png,Ente,11,resized_B_B177.png,Schloss,14,resized_A_B139.png,Trichter,10,resized_B_B143.png,Tanne,3,resized_A_B33.png,Zünder,13,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,7,7,7,101.94094040000346,,,,,,103.80027230002452,1,10,[-0.04833333 -0.0575    ],2.418877899996005,106.87002740002936,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,14,9,test item,2-2,resized_A_B196.png,Fenster,152,resized_B_A03.png,Kleid,15,resized_A_A02.png,Mühle,3,resized_B_A129.png,Huhn,7,resized_A_B196.png,Fenster,13,resized_A_B43.png,Parfüm,10,resized_B_A11.png,Medaille,1,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,8,8,8,107.01761660003103,,,,,,108.88787610002328,1,13,[-0.2525     -0.21833333],2.735877100029029,112.30832509999163,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
LEALCO-EEG,110.0,1,A-B,2.0,2.0,training,1,B,14,10,test item,1-2,resized_B_A11.png,Medaille,167,resized_B_A03.png,Kleid,15,resized_A_A02.png,Mühle,3,resized_B_A129.png,Huhn,7,resized_A_B196.png,Fenster,13,resized_A_B43.png,Parfüm,10,resized_B_A11.png,Medaille,1,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,9,9,9,112.44871560001047,,,,,,114.30889540002681,1,1,[-0.21083333  0.23916667],3.1364537000190467,118.44659780000802,,,,,,,,,,,110,B,1,2024-10-24_09h56.26.085,task,2023.2.2,59.89612814551353,2024-10-24 09h56.36.078360 +0200,
