study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,attempt4_click_accuracy,attempt4_click_positionGrid,attempt4_click_positionCoordinate,attempt4_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,2,1,test item,1-2,resized_A_A74.png,Rubin,165,resized_B_A68.png,Lampe,9,resized_A_B78.png,Pfeil,11,resized_A_B55.png,Schlange,10,resized_A_A179.png,Drachen,16,resized_B_A20.png,Grill,5,resized_A_A74.png,Rubin,2,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,0,0,0,102.48564069997519,,0.001029099919833243,10.064634299953468,10.064644599915482,100.27684839989524,104.26357709988952,1,2,[-0.10333333  0.27166667],2.670216500060633,107.58377809997182,,,,,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,2,2,test item,2-2,resized_A_A179.png,Drachen,150,resized_B_A68.png,Lampe,9,resized_A_B78.png,Pfeil,11,resized_A_B55.png,Schlange,10,resized_A_A179.png,Drachen,16,resized_B_A20.png,Grill,5,resized_A_A74.png,Rubin,2,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,1,1,1,107.73448799992912,,,,,,109.60143789998256,0,5,[-0.28666667  0.07      ],3.286597799975425,117.4758245999692,1,16,[ 0.26083333 -0.23      ],7.089637800003402,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,1,3,test item,2-2,resized_B_B206.png,Axt,179,resized_B_A187.png,Brücke,3,resized_B_A132.png,Ente,1,resized_B_B193.png,Auge,11,resized_B_A43.png,Blatt,15,resized_B_A11.png,Medaille,8,resized_B_B206.png,Axt,5,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,2,2,2,117.6373331999639,,,,,,119.476409799885,1,5,[-0.2625      0.06583333],13.578667899942957,134.1229342999868,,,,,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,1,4,test item,1-2,resized_B_A11.png,Medaille,167,resized_B_A187.png,Brücke,3,resized_B_A132.png,Ente,1,resized_B_B193.png,Auge,11,resized_B_A43.png,Blatt,15,resized_B_A11.png,Medaille,8,resized_B_B206.png,Axt,5,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,3,3,3,134.30889709992334,,,,,,136.15712849993724,0,11,[ 0.06916667 -0.07833333],2.785924900090322,144.59797309990972,1,8,[0.245      0.08333333],7.373429800034501,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,6,5,test item,1-2,resized_B_B73.png,Treppe,137,resized_A_B157.png,Hammer,4,resized_B_B19.png,Krawatte,6,resized_B_B73.png,Treppe,12,resized_B_A77.png,Hang,8,resized_B_B143.png,Tanne,11,resized_A_A151.png,Fuchs,7,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,4,4,4,144.74472029996105,,,,,,146.6159499998903,1,12,[ 0.24   -0.0925],2.4356348000001162,149.56932339991909,,,,,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,6,6,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_B157.png,Hammer,4,resized_B_B19.png,Krawatte,6,resized_B_B73.png,Treppe,12,resized_B_A77.png,Hang,8,resized_B_B143.png,Tanne,11,resized_A_A151.png,Fuchs,7,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,5,5,5,149.71727899997495,,,,,,151.58682479988784,1,7,[0.07333333 0.06833333],2.1358124999096617,154.3232859999407,,,,,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,11,7,test item,1-2,resized_A_B139.png,Trichter,169,resized_B_B155.png,Messer,12,resized_B_C01.png,Kaninchen,3,resized_B_B180.png,Geist,7,resized_A_B199.png,Fisch,1,resized_B_A33.png,Roboter,6,resized_A_B139.png,Trichter,13,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,6,6,6,154.46370229998138,,,,,,156.3241097999271,1,13,[-0.2525 -0.25  ],3.503499099984765,160.3616837998852,,,,,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,11,8,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_B155.png,Messer,12,resized_B_C01.png,Kaninchen,3,resized_B_B180.png,Geist,7,resized_A_B199.png,Fisch,1,resized_B_A33.png,Roboter,6,resized_A_B139.png,Trichter,13,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,7,7,7,160.5017760999035,,,,,,162.3625515999738,0,1,[-0.24833333  0.2475    ],12.561032199999318,178.77731689997017,1,6,[-0.08        0.07333333],15.747032800107263,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,8,9,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_A90.png,Fabrik,1,resized_B_A135.png,Kamel,16,resized_A_B56.png,Stuhl,5,resized_B_A185.png,Gesicht,9,resized_B_B152.png,Säge,15,resized_A_B33.png,Zünder,3,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,8,8,8,178.9151550999377,,,,,,180.77807509992272,0,1,[-0.24916667  0.2125    ],10.6759762999136,197.9267270999262,1,3,[0.06333333 0.19416667],16.414250399917364,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
LEALCO-EEG,111.0,1,A-B,3.0,1.0,training,1,A,8,10,test item,1-2,resized_B_A185.png,Gesicht,138,resized_A_A90.png,Fabrik,1,resized_B_A135.png,Kamel,16,resized_A_B56.png,Stuhl,5,resized_B_A185.png,Gesicht,9,resized_B_B152.png,Säge,15,resized_A_B33.png,Zünder,3,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,9,9,9,198.07753849995788,,,,,,199.94424349989276,1,9,[-0.235      -0.07666667],2.268869600025937,202.76421759999357,,,,,,,,,,,,,,,111,A,1,2024-10-24_12h48.41.779,task,2023.2.2,59.907287515140084,2024-10-24 12h48.51.543508 +0200,
