study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,4,1,test item,2-2,resized_B_B206.png,Axt,179,resized_A_A93.png,Haus,6,resized_B_B19.png,Krawatte,9,resized_B_A06.png,Hut,4,resized_A_B168.png,Frau,16,resized_B_B193.png,Auge,12,resized_B_B206.png,Axt,13,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,0,0,0,60.12484940000286,,0.0010991000017384067,10.062173199999961,10.062181799992686,57.90924339999037,61.89587720000418,1,13,[-0.225  -0.2325],4.305040899998858,66.91769239999121,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,4,2,test item,1-2,resized_A_B168.png,Frau,136,resized_A_A93.png,Haus,6,resized_B_B19.png,Krawatte,9,resized_B_A06.png,Hut,4,resized_A_B168.png,Frau,16,resized_B_B193.png,Auge,12,resized_B_B206.png,Axt,13,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,1,1,1,67.08103429999028,,,,,,68.9183897000039,1,16,[ 0.25833333 -0.255     ],2.5359858000010718,72.03868349999539,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,3,3,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_A68.png,Lampe,14,resized_B_A132.png,Ente,12,resized_B_A43.png,Blatt,4,resized_A_A166.png,Pyramide,11,resized_B_A123.png,Tänzer,1,resized_A_B32.png,Kamin,8,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,2,2,2,72.18610819999594,,,,,,74.05614159999823,1,11,[ 0.06083333 -0.09833333],1.9355447999987518,76.64246190000267,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,3,4,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_A68.png,Lampe,14,resized_B_A132.png,Ente,12,resized_B_A43.png,Blatt,4,resized_A_A166.png,Pyramide,11,resized_B_A123.png,Tänzer,1,resized_A_B32.png,Kamin,8,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,3,3,3,76.78485389999696,,,,,,78.64355789999536,1,8,[0.23333333 0.08166667],3.102972499997122,82.33092979999492,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,2,5,test item,2-2,resized_A_B196.png,Fenster,152,resized_B_A156.png,Bär,6,resized_B_A197.png,Hirsch,15,resized_B_B180.png,Geist,9,resized_B_A36.png,Stern,10,resized_A_A52.png,Stein,3,resized_A_B196.png,Fenster,1,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,4,4,4,82.47034909999638,,,,,,84.33171040000161,1,1,[-0.24083333  0.2225    ],2.385570900005405,87.35161339999468,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,2,6,test item,1-2,resized_B_A36.png,Stern,140,resized_B_A156.png,Bär,6,resized_B_A197.png,Hirsch,15,resized_B_B180.png,Geist,9,resized_B_A36.png,Stern,10,resized_A_A52.png,Stein,3,resized_A_B196.png,Fenster,1,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,5,5,5,87.49954069999512,,,,,,89.36905599999591,1,10,[-0.1175     -0.06833333],2.7194619000074454,92.77299019999919,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,14,7,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_B54.png,Telefon,4,resized_A_B78.png,Pfeil,6,resized_B_A129.png,Huhn,3,resized_B_A20.png,Grill,8,resized_B_A176.png,Trophäe,1,resized_B_A70.png,Brunnen,7,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,6,6,6,92.91986019999604,,,,,,94.77366350000375,1,7,[0.0575     0.06583333],2.185710799996741,97.59351279999828,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,14,8,test item,1-2,resized_B_A176.png,Trophäe,164,resized_A_B54.png,Telefon,4,resized_A_B78.png,Pfeil,6,resized_B_A129.png,Huhn,3,resized_B_A20.png,Grill,8,resized_B_A176.png,Trophäe,1,resized_B_A70.png,Brunnen,7,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,7,7,7,97.74010929999349,,,,,,99.61108859999513,1,1,[-0.23        0.25333333],4.670991900013178,104.91626339999493,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,5,9,test item,1-2,resized_B_B24.png,Baby,142,resized_B_B155.png,Messer,3,resized_A_A139.png,Gans,9,resized_A_B56.png,Stuhl,8,resized_B_B24.png,Baby,13,resized_B_A37.png,Tasse,10,resized_A_A151.png,Fuchs,2,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,8,8,8,105.05651999999827,,,,,,106.917185600003,1,13,[-0.21416667 -0.19166667],2.352406300007715,109.83714390000387,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
LEALCO-EEG,114.0,1,B-A,2.0,1.0,training,1,B,5,10,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_B155.png,Messer,3,resized_A_A139.png,Gans,9,resized_A_B56.png,Stuhl,8,resized_B_B24.png,Baby,13,resized_B_A37.png,Tasse,10,resized_A_A151.png,Fuchs,2,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,9,9,9,109.98470210000232,,,,,,111.85470379999606,1,2,[-0.01583333  0.25666667],1.6019598999992013,113.89055789999838,,,,,,,114,B,1,2024-10-31_10h14.27.534,task,2023.2.2,59.9143225220477,2024-10-31 10h14.34.191574 +0100,
