study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,6,1,test item,1-1,resized_B_A20.png,Grill,160,resized_A_B54.png,Telefon,4,resized_A_A148.png,Giraffe,3,resized_B_A20.png,Grill,5,resized_A_B15.png,Schwangere,6,resized_B_A123.png,Tänzer,15,resized_A_B32.png,Kamin,2,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,0,0,0,44.00358299998334,,0.001025000005029142,10.06689339998411,10.066903700004332,41.79636159999063,45.783056600019336,0,2,[-0.0675      0.23916667],2.0365947000100277,1,5,[-0.22333333  0.0675    ],3.9034985000034794,50.37126929999795,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,6,2,test item,2-1,resized_B_A123.png,Tänzer,174,resized_A_B54.png,Telefon,4,resized_A_A148.png,Giraffe,3,resized_B_A20.png,Grill,5,resized_A_B15.png,Schwangere,6,resized_B_A123.png,Tänzer,15,resized_A_B32.png,Kamin,2,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,1,1,1,50.51239839999471,,,,,,52.37196259998018,1,15,[ 0.105  -0.2025],2.0691954999929294,,,,,55.10866630001692,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,11,3,test item,1-1,resized_B_A153.png,Schwein,131,resized_A_A141.png,Pferd,16,resized_B_B175.png,Propeller,9,resized_B_A153.png,Schwein,12,resized_A_B168.png,Frau,4,resized_A_A76.png,Mauer,15,resized_B_A54.png,Flamme,10,28.57,45.24,3.8,3.18,2.86,2.54,2.75,1.89,3.29,62.09,3.2,HF,0.59,2.77,5.95,2.81,1,7,nn,7.995227258,18.36122743,0,2,2,2,55.24046250001993,,,,,,57.10934660001658,1,12,[ 0.25166667 -0.06833333],2.068715500005055,,,,,60.29625060001854,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,11,4,test item,2-1,resized_A_A76.png,Mauer,147,resized_A_A141.png,Pferd,16,resized_B_B175.png,Propeller,9,resized_B_A153.png,Schwein,12,resized_A_B168.png,Frau,4,resized_A_A76.png,Mauer,15,resized_B_A54.png,Flamme,10,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,3,3,3,60.43724940001266,,,,,,62.2970279000001,1,15,[ 0.08833333 -0.22833333],1.4016030000057071,,,,,64.49962790001882,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,3,5,test item,2-1,resized_A_B194.png,Raute,173,resized_A_B157.png,Hammer,10,resized_A_A02.png,Mühle,13,resized_A_A113.png,Engel,16,resized_A_B43.png,Parfüm,9,resized_A_B194.png,Raute,8,resized_B_B206.png,Axt,11,4.76,8.24,5.91,2.72,2.11,3.11,2.69,2.76,1.93,0.28,0.9,LF,None,None,None,None,2,5,nn,0.302477923,0.539555214,0,4,4,4,64.64547579997452,,,,,,66.50059339997824,1,8,[0.25666667 0.10666667],3.303173099993728,,,,,70.53828729997622,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,3,6,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_B157.png,Hammer,10,resized_A_A02.png,Mühle,13,resized_A_A113.png,Engel,16,resized_A_B43.png,Parfüm,9,resized_A_B194.png,Raute,8,resized_B_B206.png,Axt,11,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,5,5,5,70.67876219999744,,,,,,72.53911680000601,1,9,[-0.2725     -0.07416667],1.701569099968765,,,,,74.94183749996591,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,12,7,test item,1-1,resized_B_A43.png,Blatt,159,resized_B_B155.png,Messer,2,resized_B_A197.png,Hirsch,1,resized_A_A179.png,Drachen,14,resized_B_A43.png,Blatt,11,resized_A_A166.png,Pyramide,12,resized_B_B152.png,Säge,15,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,6,6,6,75.08725549996598,,,,,,76.95948129997123,1,11,[ 0.03083333 -0.07      ],1.7851071000332013,,,,,79.32880889996886,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,12,8,test item,2-1,resized_B_B152.png,Säge,171,resized_B_B155.png,Messer,2,resized_B_A197.png,Hirsch,1,resized_A_A179.png,Drachen,14,resized_B_A43.png,Blatt,11,resized_A_A166.png,Pyramide,12,resized_B_B152.png,Säge,15,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,7,7,7,79.47792669996852,,,,,,81.34648389997892,1,15,[ 0.10083333 -0.24833333],2.4023813999956474,,,,,84.399941199983,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,13,9,test item,2-1,resized_B_A37.png,Tasse,144,resized_A_A90.png,Fabrik,10,resized_B_B70.png,Quadrat,16,resized_B_B180.png,Geist,15,resized_B_A37.png,Tasse,7,resized_A_B20.png,Kerze,9,resized_B_B164.png,kimono,14,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,8,8,8,84.5502065999899,,,,,,86.4174398999894,1,7,[0.0525     0.07333333],2.0352048000204377,,,,,89.07072279998101,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
LEALCO-EEG,116.0,1,B-A,4.0,2.0,training,4,B,13,10,test item,1-1,resized_B_B180.png,Geist,129,resized_A_A90.png,Fabrik,10,resized_B_B70.png,Quadrat,16,resized_B_B180.png,Geist,15,resized_B_A37.png,Tasse,7,resized_A_B20.png,Kerze,9,resized_B_B164.png,kimono,14,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,9,9,9,89.21839260001434,,,,,,91.08805349998875,1,15,[ 0.07166667 -0.22416667],3.2363073999877088,,,,,95.02549319999525,,,116,B,4,2024-11-05_10h49.11.905,task,2023.2.2,59.981957422495825,2024-11-05 10h49.21.629809 +0100,
