study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,attempt4_click_accuracy,attempt4_click_positionGrid,attempt4_click_positionCoordinate,attempt4_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,12,1,test item,1-2,resized_B_B24.png,Baby,142,resized_A_A90.png,Fabrik,12,resized_B_A197.png,Hirsch,8,resized_A_B150.png,Rakete,16,resized_B_B24.png,Baby,7,resized_B_B167.png,Fliege,4,resized_A_A73.png,Klinge,5,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,0,0,0,49.47852000000421,,0.0011699999449774623,10.071209899964742,10.071219599922188,47.269042999949306,51.256655099918135,1,7,[0.09166667 0.08083333],5.522713700076565,57.478968899929896,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,12,2,test item,2-2,resized_B_B167.png,Fliege,151,resized_A_A90.png,Fabrik,12,resized_B_A197.png,Hirsch,8,resized_A_B150.png,Rakete,16,resized_B_B24.png,Baby,7,resized_B_B167.png,Fliege,4,resized_A_A73.png,Klinge,5,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,1,1,1,57.621636600000784,,,,,,59.480203600018285,1,4,[0.2475 0.2275],9.491745300008915,69.90620319999289,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,10,3,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A134.png,Vogel,3,resized_A_B78.png,Pfeil,16,resized_A_B56.png,Stuhl,9,resized_B_A11.png,Medaille,2,resized_A_A122.png,Sturz,8,resized_B_A70.png,Brunnen,13,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,2,2,2,70.05168949998915,,,,,,71.90727959992364,1,13,[-0.24833333 -0.24583333],4.670806699898094,77.36242609994952,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,10,4,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_A134.png,Vogel,3,resized_A_B78.png,Pfeil,16,resized_A_B56.png,Stuhl,9,resized_B_A11.png,Medaille,2,resized_A_A122.png,Sturz,8,resized_B_A70.png,Brunnen,13,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,3,3,3,77.50401559995953,,,,,,79.36358659993857,1,2,[-0.07833333  0.24166667],3.8870960000203922,83.98468929994851,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,4,5,test item,2-2,resized_A_B08.png,Person,154,resized_A_A93.png,Haus,4,resized_B_A132.png,Ente,16,resized_B_A37.png,Tasse,11,resized_A_B08.png,Person,12,resized_A_B43.png,Parfüm,10,resized_A_B20.png,Kerze,13,5.95,22.35,6.08,2.76,2.36,3.43,3.59,2.07,2.44,107.48,3.44,HF,0.5,2.06,4.05,5.21,2,6,nn,75.2761274,188.0431671,0,4,4,4,84.13190339994617,,,,,,86.0024984999327,1,12,[ 0.25083333 -0.07416667],4.854189199977554,91.74161779996939,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,4,6,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A93.png,Haus,4,resized_B_A132.png,Ente,16,resized_B_A37.png,Tasse,11,resized_A_B08.png,Person,12,resized_A_B43.png,Parfüm,10,resized_A_B20.png,Kerze,13,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,5,5,5,91.87985399994068,,,,,,93.74234230001457,1,13,[-0.25666667 -0.2575    ],4.487758000032045,99.04736029997002,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,8,7,test item,1-2,resized_A_B168.png,Frau,136,resized_A_B192.png,Katze,6,resized_A_A148.png,Giraffe,13,resized_B_A153.png,Schwein,15,resized_A_B168.png,Frau,12,resized_A_A179.png,Drachen,1,resized_A_B39.png,Sessel,3,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,6,6,6,99.18895739992149,,,,,,101.04900929995347,1,12,[ 0.25583333 -0.10083333],4.386608100030571,106.17047939996701,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,8,8,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_B192.png,Katze,6,resized_A_A148.png,Giraffe,13,resized_B_A153.png,Schwein,15,resized_A_B168.png,Frau,12,resized_A_A179.png,Drachen,1,resized_A_B39.png,Sessel,3,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,7,7,7,106.31935200002044,,,,,,108.18796609994024,0,13,[-0.2575     -0.24583333],4.487405900028534,141.16628329991363,0,6,[-0.06416667  0.07      ],13.744748100056313,0,15,[ 0.09666667 -0.2575    ],19.96721160004381,1,1,[-0.24416667  0.25666667],26.005234300042503,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,2,9,test item,1-2,resized_B_A188.png,Tür,141,resized_A_B109.png,Boot,7,resized_B_A140.png,Flamingo,2,resized_B_A188.png,Tür,3,resized_A_B55.png,Schlange,11,resized_B_A77.png,Hang,16,resized_A_A151.png,Fuchs,14,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,8,8,8,141.32072479999624,,,,,,143.18404929991812,1,3,[0.0775 0.2425],3.152733900002204,146.83767969999462,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
LEALCO-EEG,118.0,1,A-B,2.0,2.0,training,1,B,2,10,test item,2-2,resized_A_A151.png,Fuchs,181,resized_A_B109.png,Boot,7,resized_B_A140.png,Flamingo,2,resized_B_A188.png,Tür,3,resized_A_B55.png,Schlange,11,resized_B_A77.png,Hang,16,resized_A_A151.png,Fuchs,14,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,9,9,9,146.98039599996991,,,,,,148.85555909993127,1,14,[-0.05666667 -0.25      ],2.118921999935992,151.55883599992376,,,,,,,,,,,,,,,118,B,1,2024-11-06_13h52.43.291,task,2023.2.2,59.99397658682245,2024-11-06 13h52.51.765859 +0100,
