study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,12,1,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A68.png,Lampe,15,resized_A_A148.png,Giraffe,6,resized_B_A33.png,Roboter,10,resized_A_A100.png,Ruderer,7,resized_A_B15.png,Schwangere,14,resized_A_A73.png,Klinge,1,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,0,0,0,224.6267082000013,,0.0010992999996233266,10.068758700001126,10.068767200000366,222.4305045000001,226.41712259999986,1,14,[-0.06083333 -0.22083333],2.3368738000008307,229.35412150000047,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,12,2,test item,2-2,resized_B_A33.png,Roboter,156,resized_B_A68.png,Lampe,15,resized_A_A148.png,Giraffe,6,resized_B_A33.png,Roboter,10,resized_A_A100.png,Ruderer,7,resized_A_B15.png,Schwangere,14,resized_A_A73.png,Klinge,1,8.33,9.52,5.81,2.86,2.21,3.54,3.25,2.68,2.37,30.59,2.89,HF,None,None,None,5.43,3,7,nn,1.479689298,1.798517379,0,1,1,1,229.49323490000097,,,,,,231.3547381999997,1,10,[-0.06416667 -0.0675    ],3.520376699998451,235.55897189999996,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,8,3,test item,2-2,resized_A_A179.png,Drachen,150,resized_B_A156.png,Bär,12,resized_B_A197.png,Hirsch,7,resized_A_A179.png,Drachen,15,resized_B_A20.png,Grill,1,resized_B_A176.png,Trophäe,8,resized_B_B152.png,Säge,9,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,2,2,2,235.6988891000001,,,,,,237.55986800000028,0,7,[0.08166667 0.09083333],5.521700900000724,246.53514730000097,1,15,[ 0.0725 -0.2475],8.257445000001098,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,8,4,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A156.png,Bär,12,resized_B_A197.png,Hirsch,7,resized_A_A179.png,Drachen,15,resized_B_A20.png,Grill,1,resized_B_A176.png,Trophäe,8,resized_B_B152.png,Säge,9,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,3,3,3,246.6791420999998,,,,,,248.53583890000118,1,8,[0.24916667 0.09083333],2.919599400000152,252.00622680000015,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,13,5,test item,1-2,resized_B_A185.png,Gesicht,138,resized_B_A147.png,Hund,12,resized_B_B175.png,Propeller,16,resized_B_A185.png,Gesicht,11,resized_B_A37.png,Tasse,3,resized_B_B167.png,Fliege,1,resized_B_A43.png,Blatt,4,14.46,34.52,5.44,3.5,2.39,3.57,3.32,2.39,2.89,195.05,3.695,HF,1,2.67,6,3.79,2,7,nn,196.2591215,239.1537609,0,4,4,4,252.14303389999986,,,,,,254.00710270000127,1,11,[ 0.09916667 -0.10666667],2.4857932000013534,256.92690179999954,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,13,6,test item,2-2,resized_B_B167.png,Fliege,151,resized_B_A147.png,Hund,12,resized_B_B175.png,Propeller,16,resized_B_A185.png,Gesicht,11,resized_B_A37.png,Tasse,3,resized_B_B167.png,Fliege,1,resized_B_A43.png,Blatt,4,11.9,15.48,5.7,2.61,2.39,3.25,3.61,2.57,2.29,23.19,2.77,HF,-0.95,2.16,6.14,None,2,6,nn,4.332791868,12.70407276,0,5,5,5,257.06606490000013,,,,,,258.92786030000025,1,1,[-0.25833333  0.25      ],3.903893300001073,263.3823786000012,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,4,7,test item,2-2,resized_B_A54.png,Flamme,178,resized_B_A03.png,Kleid,9,resized_B_A132.png,Ente,3,resized_B_B180.png,Geist,13,resized_B_A36.png,Stern,2,resized_B_B193.png,Auge,12,resized_B_A54.png,Flamme,10,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,6,6,6,263.5407449000013,,,,,,265.3832297000008,0,13,[-0.2525 -0.26  ],4.203895299999203,276.5269093000006,0,2,[-0.0775      0.23083333],8.090732399999979,1,10,[-0.04416667 -0.08833333],10.458866099999796,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,4,8,test item,1-2,resized_B_A36.png,Stern,140,resized_B_A03.png,Kleid,9,resized_B_A132.png,Ente,3,resized_B_B180.png,Geist,13,resized_B_A36.png,Stern,2,resized_B_B193.png,Auge,12,resized_B_A54.png,Flamme,10,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,7,7,7,276.67949020000015,,,,,,278.5276816000005,1,2,[-0.08333333  0.23      ],5.021349000000555,284.1331831000007,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,10,9,test item,2-2,resized_B_B164.png,kimono,182,resized_A_B192.png,Katze,5,resized_B_B70.png,Quadrat,2,resized_A_B199.png,Fisch,4,resized_A_B43.png,Parfüm,10,resized_B_A11.png,Medaille,6,resized_B_B164.png,kimono,15,9.52,19.05,5.98,2.86,2.89,2.89,2.61,3.43,2.86,2.09,1.73,LF,None,None,None,None,3,6,nn,0.008175079,0.465979503,0,8,8,8,284.27475940000113,,,,,,286.13402680000036,0,6,[-0.07833333  0.06583333],2.602592499999446,291.00565070000084,1,15,[ 0.08916667 -0.25416667],4.153926799999681,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
LEALCO-EEG,120.0,1,A-B,4.0,2.0,training,1,A,10,10,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_B192.png,Katze,5,resized_B_B70.png,Quadrat,2,resized_A_B199.png,Fisch,4,resized_A_B43.png,Parfüm,10,resized_B_A11.png,Medaille,6,resized_B_B164.png,kimono,15,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,9,9,9,291.1456450000005,,,,,,293.0064861999999,1,6,[-0.08666667  0.08166667],2.9857740000006743,296.71062990000064,,,,,,,,,,120,A,1,2024-11-07_13h12.45.889,task,2023.2.2,59.941113849270764,2024-11-07 13h12.52.381871 +0100,
