study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,2,1,test item,2-1,resized_B_B193.png,Auge,145,resized_B_B155.png,Messer,9,resized_A_A02.png,Mühle,4,resized_A_B150.png,Rakete,8,resized_A_A113.png,Engel,5,resized_B_B193.png,Auge,3,resized_A_A179.png,Drachen,15,3.61,10.71,5.94,2.68,2.29,2.68,3.39,2.89,2.07,92.05,3.37,HF,1.12,2.06,6.65,2.69,2,4,nn,77.94937823,392.1258391,0,0,0,0,36.38333229999989,,0.0010987999994540587,10.063789899999392,10.06379829999969,34.13731199999893,38.1240128999998,1,3,[0.13333333 0.28333333],2.035319900000104,40.72701439999946,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,2,2,test item,1-1,resized_A_B150.png,Rakete,134,resized_B_B155.png,Messer,9,resized_A_A02.png,Mühle,4,resized_A_B150.png,Rakete,8,resized_A_A113.png,Engel,5,resized_B_B193.png,Auge,3,resized_A_A179.png,Drachen,15,28.92,30.59,4.48,2.93,2.61,3.14,3.14,2.41,2.59,16.02,2.61,HF,-0.6,3.47,6.67,4.87,3,6,nn,3.507108889,12.47517055,0,1,1,1,40.89027839999835,,,,,,42.74481989999913,1,8,[0.1975     0.03333333],1.4179332000003342,44.630137499998455,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,1,3,test item,2-1,resized_A_A76.png,Mauer,147,resized_B_A03.png,Kleid,1,resized_B_A132.png,Ente,6,resized_B_B177.png,Schloss,2,resized_A_B168.png,Frau,8,resized_A_A76.png,Mauer,12,resized_B_B206.png,Axt,14,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,2,2,2,44.771606899999824,,,,,,46.63117299999976,1,12,[ 0.29416667 -0.12166667],1.9688855999993393,49.18412349999926,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,1,4,test item,1-1,resized_B_B177.png,Schloss,132,resized_B_A03.png,Kleid,1,resized_B_A132.png,Ente,6,resized_B_B177.png,Schloss,2,resized_A_B168.png,Frau,8,resized_A_A76.png,Mauer,12,resized_B_B206.png,Axt,14,25,32.14,4.02,3.43,2.93,3.07,3.36,2.43,3,46.3,3.071,HF,None,None,None,None,1,7,nn,0.989184559,53.18706395,0,3,3,3,49.331920900000114,,,,,,51.20171349999873,1,2,[-0.09916667  0.2       ],2.0854106999995565,53.83808129999852,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,4,5,test item,2-1,resized_A_B39.png,Sessel,172,resized_B_A156.png,Bär,15,resized_B_A142.png,Reiter,1,resized_B_B49.png,Magnet,7,resized_A_B20.png,Kerze,12,resized_A_B39.png,Sessel,13,resized_A_A151.png,Fuchs,2,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,4,4,4,53.97847999999976,,,,,,55.83896299999833,1,13,[-0.2375     -0.22333333],1.518372399999862,57.94151559999955,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,4,6,test item,1-1,resized_B_B49.png,Magnet,163,resized_B_A156.png,Bär,15,resized_B_A142.png,Reiter,1,resized_B_B49.png,Magnet,7,resized_A_B20.png,Kerze,12,resized_A_B39.png,Sessel,13,resized_A_A151.png,Fuchs,2,15.48,15.48,4.88,2.93,3.11,1.89,2.93,2.79,3.11,1.5,1.591,LF,0.6,2.21,6.22,6.74,2,6,nn,1.119985822,3.000253992,0,5,5,5,58.083923799998956,,,,,,59.942290899998625,1,7,[0.04583333 0.05416667],1.5856285999998363,62.145049499999004,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,8,7,test item,1-1,resized_B_A43.png,Blatt,159,resized_A_A141.png,Pferd,7,resized_A_A148.png,Giraffe,16,resized_B_A188.png,Tür,5,resized_B_A129.png,Huhn,13,resized_B_A43.png,Blatt,11,resized_B_A70.png,Brunnen,14,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,6,6,6,62.28637319999871,,,,,,64.14593969999987,1,11,[ 0.04166667 -0.07      ],2.3356724999994185,67.03250599999956,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,8,8,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_A141.png,Pferd,7,resized_A_A148.png,Giraffe,16,resized_B_A188.png,Tür,5,resized_B_A129.png,Huhn,13,resized_B_A43.png,Blatt,11,resized_B_A70.png,Brunnen,14,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,7,7,7,67.1704510999989,,,,,,69.03341089999958,1,13,[-0.17583333 -0.18833333],2.0688236000005418,71.60299799999848,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,13,9,test item,2-1,resized_B_B152.png,Säge,171,resized_B_A68.png,Lampe,8,resized_B_B175.png,Propeller,15,resized_B_B180.png,Geist,7,resized_B_A23.png,Flasche,2,resized_B_A11.png,Medaille,3,resized_B_B152.png,Säge,9,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,8,8,8,71.74732799999947,,,,,,73.62056519999896,1,9,[-0.2725     -0.07166667],2.2192567999991297,76.39039049999883,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,2,A,13,10,test item,1-1,resized_B_B180.png,Geist,129,resized_B_A68.png,Lampe,8,resized_B_B175.png,Propeller,15,resized_B_B180.png,Geist,7,resized_B_A23.png,Flasche,2,resized_B_A11.png,Medaille,3,resized_B_B152.png,Säge,9,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,9,9,9,76.52895739999985,,,,,,78.39144769999984,1,7,[0.03083333 0.09916667],2.719095299999026,81.84517129999949,,,,,,121,A,2,2024-11-12_13h17.41.324,task,2023.2.2,59.9442039344944,2024-11-12 13h17.47.212320 +0100,
