study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,13,1,test item,1-1,resized_B_B180.png,Geist,129,resized_B_A68.png,Lampe,14,resized_B_B175.png,Propeller,3,resized_B_B180.png,Geist,8,resized_B_A23.png,Flasche,7,resized_B_A11.png,Medaille,9,resized_B_B152.png,Säge,11,26.19,38.1,4.73,3.43,2.89,2.68,3,2.57,2.59,77.01,3.29,HF,1.1,2.83,4,6.22,1,5,nn,99.6787382,173.1808735,0,0,0,0,41.690322799999194,,0.0010397999994893325,10.063865500000247,10.063873200000671,39.480023000000074,43.46667940000043,1,8,[0.19416667 0.07416667],2.3197866000009526,46.25316860000021,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,13,2,test item,2-1,resized_B_B152.png,Säge,171,resized_B_A68.png,Lampe,14,resized_B_B175.png,Propeller,3,resized_B_B180.png,Geist,8,resized_B_A23.png,Flasche,7,resized_B_A11.png,Medaille,9,resized_B_B152.png,Säge,11,15.48,20.24,4.54,3.57,3.21,2.32,2.46,2.68,3,3.11,1.9,LF,-1.09,2.95,5.68,None,2,4,nn,1.978369117,2.812227175,0,1,1,1,46.3955876,,,,,,48.25399560000005,1,11,[ 0.04333333 -0.05916667],1.7513969000010547,50.590192800000295,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,8,3,test item,1-1,resized_B_A43.png,Blatt,159,resized_A_A141.png,Pferd,13,resized_A_A148.png,Giraffe,15,resized_B_A188.png,Tür,1,resized_B_A129.png,Huhn,3,resized_B_A43.png,Blatt,11,resized_B_A70.png,Brunnen,14,6.1,8.33,5.82,2.81,2.25,2.46,2.58,2.96,2.21,12.17,2.49,LF,None,None,None,None,1,5,nn,33.92657783,93.25312611,0,2,2,2,50.7342649000002,,,,,,52.59099590000005,1,11,[ 0.03833333 -0.0425    ],1.7018094999984896,54.84403139999995,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,8,4,test item,2-1,resized_B_A129.png,Huhn,146,resized_A_A141.png,Pferd,13,resized_A_A148.png,Giraffe,15,resized_B_A188.png,Tür,1,resized_B_A129.png,Huhn,3,resized_B_A43.png,Blatt,11,resized_B_A70.png,Brunnen,14,34.52,38.1,2.99,3.89,3.54,2.64,3.18,2.14,3.86,17.05,2.64,HF,-0.09,2.43,5.91,3,1,4,nn,4.553519001,11.90291502,0,3,3,3,54.985397000000376,,,,,,56.84459330000027,1,3,[0.0775 0.265 ],1.6850549000009778,58.94715820000056,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,6,5,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_B54.png,Telefon,4,resized_B_A197.png,Hirsch,7,resized_B_A33.png,Roboter,6,resized_A_B43.png,Parfüm,14,resized_A_A74.png,Rubin,13,resized_A_A122.png,Sturz,5,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,4,4,4,59.09837660000085,,,,,,60.96497679999993,1,14,[-0.15583333 -0.25083333],1.9353254999987257,63.41755740000008,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,6,6,test item,2-1,resized_A_A122.png,Sturz,176,resized_A_B54.png,Telefon,4,resized_B_A197.png,Hirsch,7,resized_B_A33.png,Roboter,6,resized_A_B43.png,Parfüm,14,resized_A_A74.png,Rubin,13,resized_A_A122.png,Sturz,5,3.53,4.71,6.19,2.48,2.25,3.89,3.21,2.62,1.79,6.26,2.2,LF,-1.6,3.76,5.56,3.8,1,5,nn,13.16187718,16.13760594,0,5,5,5,63.5606358999994,,,,,,65.41849410000032,1,5,[-0.21666667  0.06583333],1.9348403999993025,67.90467969999918,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,14,7,test item,1-1,resized_A_B22.png,Kreisel,158,resized_A_B109.png,Boot,7,resized_B_B70.png,Quadrat,4,resized_B_A185.png,Gesicht,12,resized_A_B22.png,Kreisel,6,resized_B_A123.png,Tänzer,8,resized_B_A54.png,Flamme,13,17.65,17.65,5.31,2.62,2.54,2.82,3,2.17,2.59,0.55,1.18,LF,0.68,2.86,5.09,4.35,2,7,nn,1.348888034,1.585965325,0,6,6,6,68.04972409999937,,,,,,69.90571869999985,1,6,[-0.06583333  0.0125    ],1.5848726999993232,71.94150830000035,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,14,8,test item,2-1,resized_B_A123.png,Tänzer,174,resized_A_B109.png,Boot,7,resized_B_B70.png,Quadrat,4,resized_B_A185.png,Gesicht,12,resized_A_B22.png,Kreisel,6,resized_B_A123.png,Tänzer,8,resized_B_A54.png,Flamme,13,8.33,23.81,5.5,3.68,2.71,3.36,3.86,2,3.29,6.06,2.19,LF,None,None,None,None,2,6,nn,3.973088392,4.700670423,0,7,7,7,72.08139590000064,,,,,,73.94234519999918,1,8,[0.30583333 0.045     ],1.8353775999985373,76.27838169999995,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,12,9,test item,1-1,resized_B_A20.png,Grill,160,resized_B_A147.png,Hund,4,resized_A_B78.png,Pfeil,15,resized_B_B24.png,Baby,9,resized_B_A37.png,Tasse,5,resized_A_B196.png,Fenster,2,resized_B_A20.png,Grill,6,16.05,16.67,5.17,2.46,2.43,3.18,3.18,2.64,2.69,3.7,1.98,LF,None,None,None,6.13,1,5,nn,0.833858058,0.842033137,0,8,8,8,76.42541560000063,,,,,,78.27929570000015,1,6,[-0.10833333  0.0725    ],2.602118700000574,81.49951789999977,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
LEALCO-EEG,121.0,1,B-A,1.0,2.0,training,3,A,12,10,test item,2-1,resized_B_A37.png,Tasse,144,resized_B_A147.png,Hund,4,resized_A_B78.png,Pfeil,15,resized_B_B24.png,Baby,9,resized_B_A37.png,Tasse,5,resized_A_B196.png,Fenster,2,resized_B_A20.png,Grill,6,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,9,9,9,81.64273870000034,,,,,,83.50038309999945,1,5,[-0.22833333  0.06916667],1.7518761999999697,85.76981899999919,,121,A,3,2024-11-12_13h25.38.161,task,2023.2.2,59.99260891039356,2024-11-12 13h25.45.577239 +0100,
