study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,attempt3_click_accuracy,attempt3_click_positionGrid,attempt3_click_positionCoordinate,attempt3_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,12,1,test item,2-2,resized_A_B33.png,Zünder,180,resized_B_A156.png,Bär,10,resized_B_A135.png,Kamel,8,resized_A_A100.png,Ruderer,1,resized_A_B15.png,Schwangere,7,resized_B_B152.png,Säge,15,resized_A_B33.png,Zünder,11,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,0,0,0,95.67017820000183,,0.001014900000882335,10.069545400008792,10.069556300004479,93.45861210000294,97.46186239999952,0,15,[ 0.095 -0.215],9.65135200000077,1,11,[ 0.07   -0.0325],12.952530399998068,111.79161680000834,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,12,2,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_A156.png,Bär,10,resized_B_A135.png,Kamel,8,resized_A_A100.png,Ruderer,1,resized_A_B15.png,Schwangere,7,resized_B_B152.png,Säge,15,resized_A_B33.png,Zünder,11,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,1,1,1,111.94156459999795,,,,,,113.8090222000028,1,7,[0.0675     0.08083333],4.137349099997664,,,,,118.56396759999916,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,9,3,test item,2-2,resized_B_A181.png,Wolf,155,resized_A_A141.png,Pferd,3,resized_B_B175.png,Propeller,13,resized_B_A181.png,Wolf,5,resized_B_B49.png,Magnet,12,resized_A_B139.png,Trichter,9,resized_B_A123.png,Tänzer,1,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,2,2,2,118.7082880000089,,,,,,120.56468670000322,0,3,[0.07583333 0.20333333],4.370710600007442,1,5,[-0.24916667  0.08916667],9.808904400008032,134.29389559999981,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,9,4,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_A141.png,Pferd,3,resized_B_B175.png,Propeller,13,resized_B_A181.png,Wolf,5,resized_B_B49.png,Magnet,12,resized_A_B139.png,Trichter,9,resized_B_A123.png,Tänzer,1,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,3,3,3,134.43478100000357,,,,,,136.29459000000497,0,12,[ 0.2625 -0.0625],8.541142799993395,1,9,[-0.2525     -0.06583333],12.461154799995711,151.72541120000824,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,14,5,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_B155.png,Messer,1,resized_B_A132.png,Ente,4,resized_A_B56.png,Stuhl,13,resized_B_B193.png,Auge,10,resized_A_A166.png,Pyramide,11,resized_A_B32.png,Kamin,7,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,4,4,4,151.8980525000079,,,,,,153.74256389999937,1,7,[0.08666667 0.08166667],4.95482460000494,,,,,159.5650730000052,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,14,6,test item,1-2,resized_A_A166.png,Pyramide,166,resized_B_B155.png,Messer,1,resized_B_A132.png,Ente,4,resized_A_B56.png,Stuhl,13,resized_B_B193.png,Auge,10,resized_A_A166.png,Pyramide,11,resized_A_B32.png,Kamin,7,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,5,5,5,159.72857870000007,,,,,,161.58257969999977,1,11,[ 0.09416667 -0.1       ],2.6861678999994183,,,,,164.8857515999989,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,7,7,test item,1-2,resized_A_A113.png,Engel,139,resized_B_A68.png,Lampe,2,resized_B_A197.png,Hirsch,12,resized_A_A113.png,Engel,4,resized_B_A37.png,Tasse,7,resized_A_B22.png,Kreisel,16,resized_A_A151.png,Fuchs,3,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,6,6,6,165.02833090000786,,,,,,166.88707219999924,0,12,[ 0.25916667 -0.06666667],5.605194100004155,1,4,[0.24666667 0.2775    ],10.408570300001884,180.88313030000427,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,7,8,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_A68.png,Lampe,2,resized_B_A197.png,Hirsch,12,resized_A_A113.png,Engel,4,resized_B_A37.png,Tasse,7,resized_A_B22.png,Kreisel,16,resized_A_A151.png,Fuchs,3,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,7,7,7,181.02640230000543,,,,,,182.88383710000198,1,3,[0.06083333 0.2425    ],2.88621549999516,,,,,186.4543912000081,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,6,9,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B109.png,Boot,5,resized_A_A02.png,Mühle,3,resized_B_A188.png,Tür,14,resized_B_A20.png,Grill,7,resized_A_B39.png,Sessel,15,resized_B_B206.png,Axt,8,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,8,8,8,186.6029014000087,,,,,,188.47194260000833,1,8,[0.23833333 0.06833333],6.82286309999472,,,,,196.21298009999737,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
LEALCO-EEG,122.0,1,B-A,2.0,1.0,training,1,B,6,10,test item,1-2,resized_B_A188.png,Tür,141,resized_A_B109.png,Boot,5,resized_A_A02.png,Mühle,3,resized_B_A188.png,Tür,14,resized_B_A20.png,Grill,7,resized_A_B39.png,Sessel,15,resized_B_B206.png,Axt,8,9.52,13.1,5.23,3.14,3.71,1.64,2.86,2.25,3.36,252.88,3.81,HF,None,None,None,3.12,1,3,nn,125.2013348,125.3484862,0,9,9,9,196.36465440000757,,,,,,198.23016449999704,1,14,[-0.07583333 -0.24583333],3.3698369000048842,,,,,202.31782640000165,,,,,,,122,B,1,2024-11-13_13h25.29.187,task,2023.2.2,60.33648451045168,2024-11-13 13h25.37.672420 +0100,
