study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,1,1,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_A90.png,Fabrik,4,resized_B_A140.png,Flamingo,11,resized_B_A20.png,Grill,7,resized_B_A11.png,Medaille,6,resized_B_A123.png,Tänzer,5,resized_B_A70.png,Brunnen,16,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,0,0,0,41.216128000000026,,0.0010722000006353483,10.064949200001138,10.06495730000097,39.009288999999626,42.996761600001264,0,6,[-0.025       0.04666667],3.2041811999988568,1,16,[ 0.30083333 -0.23916667],7.673259799999869,51.404824900000676,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,1,2,test item,1-2,resized_B_A11.png,Medaille,167,resized_A_A90.png,Fabrik,4,resized_B_A140.png,Flamingo,11,resized_B_A20.png,Grill,7,resized_B_A11.png,Medaille,6,resized_B_A123.png,Tänzer,5,resized_B_A70.png,Brunnen,16,15.48,15.48,4.86,2.82,3.07,2.36,2.79,2.54,2.68,3.98,2.01,LF,1.6,2.89,6.22,5.57,3,8,nn,3.760536338,6.008683062,0,1,1,1,51.545204100000774,,,,,,53.40556470000047,0,7,[0.09916667 0.03666667],2.9197117000003345,1,6,[-0.075       0.04583333],7.89048510000066,62.080395599999974,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,4,3,test item,1-2,resized_A_B139.png,Trichter,169,resized_B_A03.png,Kleid,13,resized_B_B175.png,Propeller,7,resized_A_A52.png,Stein,9,resized_B_A23.png,Flasche,16,resized_A_A100.png,Ruderer,12,resized_A_B139.png,Trichter,8,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,2,2,2,62.222948599999654,,,,,,64.0812447999997,1,8,[0.23916667 0.0525    ],3.4200471000003745,,,,,68.15219150000121,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,4,4,test item,2-2,resized_B_A23.png,Flasche,153,resized_B_A03.png,Kleid,13,resized_B_B175.png,Propeller,7,resized_A_A52.png,Stein,9,resized_B_A23.png,Flasche,16,resized_A_A100.png,Ruderer,12,resized_A_B139.png,Trichter,8,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,3,3,3,68.29828980000093,,,,,,70.16970330000004,1,16,[ 0.2675     -0.25583333],3.00327230000039,,,,,73.72354980000091,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,12,5,test item,1-2,resized_B_A176.png,Trophäe,164,resized_B_A156.png,Bär,11,resized_B_A142.png,Reiter,15,resized_A_A04.png,Baum,7,resized_B_A37.png,Tasse,2,resized_B_A176.png,Trophäe,12,resized_B_A54.png,Flamme,16,13.1,13.1,5.4,2.82,2.18,3.54,3.04,2.82,1.89,2.56,1.82,LF,None,None,None,None,2,7,nn,0.580430609,1.087285506,0,4,4,4,73.87355329999991,,,,,,75.74105640000016,0,7,[0.08       0.01916667],4.370325399999274,1,12,[ 0.21083333 -0.11      ],11.17659090000052,87.61859200000072,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,12,6,test item,2-2,resized_B_A54.png,Flamme,178,resized_B_A156.png,Bär,11,resized_B_A142.png,Reiter,15,resized_A_A04.png,Baum,7,resized_B_A37.png,Tasse,2,resized_B_A176.png,Trophäe,12,resized_B_A54.png,Flamme,16,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,5,5,5,87.76355160000094,,,,,,89.61940630000026,1,16,[ 0.23583333 -0.20833333],3.5035365000003367,,,,,93.8239021999998,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,6,7,test item,1-2,resized_A_A74.png,Rubin,165,resized_A_A141.png,Pferd,10,resized_B_A150.png,Känguru,7,resized_A_A76.png,Mauer,5,resized_A_A179.png,Drachen,15,resized_A_B43.png,Parfüm,12,resized_A_A74.png,Rubin,3,9.41,10.59,5.13,3.14,3.07,1.93,2.93,2.86,3.11,1.02,1.43,LF,1.4,2.61,6.22,8.94,2,5,nn,0.8175079,1.357063113,0,6,6,6,93.97060620000047,,,,,,95.82462260000102,1,3,[0.08083333 0.21166667],2.8696450000006735,,,,,99.62869140000112,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,6,8,test item,2-2,resized_A_A179.png,Drachen,150,resized_A_A141.png,Pferd,10,resized_B_A150.png,Känguru,7,resized_A_A76.png,Mauer,5,resized_A_A179.png,Drachen,15,resized_A_B43.png,Parfüm,12,resized_A_A74.png,Rubin,3,6.02,10.59,5.91,2.93,2.68,3.61,3.17,2.76,2.52,20.79,2.72,HF,None,None,None,None,2,7,nn,3.25368144,3.474408573,0,7,7,7,99.76743640000132,,,,,,101.62951430000066,0,7,[0.04333333 0.03166667],3.1531574000000546,1,15,[ 0.10333333 -0.24666667],6.439157400000113,108.66968300000008,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,11,9,test item,2-2,resized_A_B32.png,Kamin,184,resized_B_B155.png,Messer,8,resized_B_B70.png,Quadrat,11,resized_B_A153.png,Schwein,4,resized_A_B15.png,Schwangere,16,resized_A_A73.png,Klinge,9,resized_A_B32.png,Kamin,14,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,8,8,8,108.80444420000094,,,,,,110.67046240000127,1,14,[-0.09       -0.21583333],3.719853000000512,,,,,115.10839060000035,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
LEALCO-EEG,123.0,1,B-A,3.0,2.0,training,1,A,11,10,test item,1-2,resized_A_B15.png,Schwangere,170,resized_B_B155.png,Messer,8,resized_B_B70.png,Quadrat,11,resized_B_A153.png,Schwein,4,resized_A_B15.png,Schwangere,16,resized_A_A73.png,Klinge,9,resized_A_B32.png,Kamin,14,16.47,34.12,5.46,3.72,2.86,3.07,3.24,2.55,3.11,7.21,2.27,LF,None,None,None,None,3,10,nn,1.087285506,1.929318643,0,9,9,9,115.24769829999968,,,,,,117.1092236000004,1,16,[ 0.29916667 -0.19083333],2.4691702000000078,,,,,120.16265230000135,,,123,A,1,2024-11-14_13h07.24.328,task,2023.2.2,59.89978765553934,2024-11-14 13h07.30.404443 +0100,
