study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,trial.stopped,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,7,1,test item,2-1,resized_A_B55.png,Schlange,143,resized_A_A141.png,Pferd,9,resized_B_A135.png,Kamel,13,resized_A_B56.png,Stuhl,11,resized_A_B55.png,Schlange,16,resized_A_A74.png,Rubin,1,resized_B_A54.png,Flamme,3,15.29,15.29,4.53,3.17,2.96,1.93,2.62,1.83,2.46,29.84,2.88,HF,None,None,None,None,2,8,nn,8.829085316,13.96303493,0,0,0,0,45.15364440000849,,0.001074999978300184,10.066765900002792,10.066776599967852,42.94576669996604,46.93230300000869,51.50394700001925,,,,,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,7,2,test item,1-1,resized_A_B56.png,Stuhl,133,resized_A_A141.png,Pferd,9,resized_B_A135.png,Kamel,13,resized_A_B56.png,Stuhl,11,resized_A_B55.png,Schlange,16,resized_A_A74.png,Rubin,1,resized_B_A54.png,Flamme,3,35.29,36.47,4.11,3.41,3.43,1.75,3.31,1.79,2.86,30.67,2.892,HF,0.5,1.82,6.23,2.86,1,5,nn,33.05184438,50.36666169,0,1,1,1,51.64860989997396,,,,,,53.52117859997088,57.075222500017844,1,11,[ 0.1175     -0.13166667],2.302477099990938,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,4,3,test item,2-1,resized_A_A76.png,Mauer,147,resized_A_A134.png,Vogel,2,resized_A_A02.png,Mühle,5,resized_B_B73.png,Treppe,15,resized_A_A76.png,Mauer,10,resized_B_B167.png,Fliege,9,resized_A_B43.png,Parfüm,12,9.41,14.12,5.6,2.72,2.61,2.36,2.69,2.59,2.44,16.89,2.63,HF,-0.5,2.78,5.64,3.53,2,5,nn,27.26388845,44.11272626,0,2,2,2,57.22453810001025,,,,,,59.09257290000096,63.063569299993105,1,10,[-0.06416667 -0.085     ],2.6697766999714077,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,4,4,test item,1-1,resized_A_B43.png,Parfüm,157,resized_A_A134.png,Vogel,2,resized_A_A02.png,Mühle,5,resized_B_B73.png,Treppe,15,resized_A_A76.png,Mauer,10,resized_B_B167.png,Fliege,9,resized_A_B43.png,Parfüm,12,14.29,18.82,5.36,2.62,2.54,2.96,3.38,2.59,2.71,5.59,2.16,LF,1.77,3,4.41,6.56,2,6,nn,2.354422751,3.057479545,0,3,3,3,63.201740899996366,,,,,,65.06411869998556,69.6190867999685,1,12,[ 0.20333333 -0.03833333],2.5694079999811947,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,5,5,test item,2-1,resized_B_A37.png,Tasse,144,resized_B_A03.png,Kleid,15,resized_B_C01.png,Kaninchen,2,resized_A_A113.png,Engel,4,resized_B_A37.png,Tasse,16,resized_B_A77.png,Hang,12,resized_A_A151.png,Fuchs,11,10.84,13.1,5.55,2.61,2.36,2.32,2.93,2.68,2.29,18.43,2.67,HF,0.73,1.82,6,3.24,2,5,nn,11.19985822,15.65527628,0,4,4,4,69.76882800000021,,,,,,71.63646319997497,75.99096289998852,1,16,[ 0.305  -0.2375],3.003125299990643,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,5,6,test item,1-1,resized_B_A77.png,Hang,161,resized_B_A03.png,Kleid,15,resized_B_C01.png,Kaninchen,2,resized_A_A113.png,Engel,4,resized_B_A37.png,Tasse,16,resized_B_A77.png,Hang,12,resized_A_A151.png,Fuchs,11,19.28,21.43,5.19,3.26,3,2.14,2.93,2.89,2.61,2.8,1.86,LF,None,None,None,None,1,4,nn,7.365746175,11.15898283,0,5,5,5,76.12748580001062,,,,,,77.9917601000052,81.31199539999943,1,12,[ 0.23333333 -0.0575    ],2.1521940999664366,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,9,7,test item,1-1,resized_A_A04.png,Baum,130,resized_A_A90.png,Fabrik,10,resized_B_A142.png,Reiter,15,resized_A_A04.png,Baum,13,resized_A_B139.png,Trichter,1,resized_A_B39.png,Sessel,3,resized_A_B33.png,Zünder,11,20.73,40,4.8,2.9,2.68,2.57,3.24,2.34,2.56,40.24,3.01,HF,1.5,1.5,6.67,2.85,1,4,nn,26.37280484,74.55672044,0,6,6,6,81.4618657999672,,,,,,83.32962350000162,89.28556689998368,1,13,[-0.31166667 -0.31666667],4.637521099997684,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,9,8,test item,2-1,resized_A_B39.png,Sessel,172,resized_A_A90.png,Fabrik,10,resized_B_A142.png,Reiter,15,resized_A_A04.png,Baum,13,resized_A_B139.png,Trichter,1,resized_A_B39.png,Sessel,3,resized_A_B33.png,Zünder,11,11.9,12.94,5.47,3.1,2.79,2.89,3.17,2.17,2.75,4.61,2.07,LF,1.4,1.78,5.82,3.23,2,6,nn,15.00126996,17.24941668,0,7,7,7,89.42799970001215,,,,,,91.28626819996862,94.77297739998903,1,3,[0.06833333 0.24916667],2.218937499972526,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,1,9,test item,1-1,resized_B_B177.png,Schloss,132,resized_B_A68.png,Lampe,10,resized_A_B78.png,Pfeil,5,resized_B_B177.png,Schloss,6,resized_A_B168.png,Frau,7,resized_A_A179.png,Drachen,11,resized_B_B143.png,Tanne,3,25,32.14,4.02,3.43,2.93,3.07,3.36,2.43,3,46.3,3.071,HF,None,None,None,None,1,7,nn,0.989184559,53.18706395,0,8,8,8,94.91220550000435,,,,,,96.77432640001643,100.01071289996617,1,6,[-0.0625      0.03833333],2.0354204999748617,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
LEALCO-EEG,125.0,2,A-B,1.0,2.0,training,4,A,1,10,test item,2-1,resized_B_B143.png,Tanne,175,resized_B_A68.png,Lampe,10,resized_A_B78.png,Pfeil,5,resized_B_B177.png,Schloss,6,resized_A_B168.png,Frau,7,resized_A_A179.png,Drachen,11,resized_B_B143.png,Tanne,3,22.62,26.19,4.2,3.75,3.07,2.54,3.21,2.25,2.96,0.43,1.08,LF,1.25,1.6,5.73,4.3,2,5,nn,1.177211375,3.507108889,0,9,9,9,100.14892690000124,,,,,,102.01203739998164,105.18216929998016,1,3,[0.10666667 0.28666667],2.1357835000380874,,,125,A,4,2024-11-19_11h12.38.081,task,2023.2.2,59.942407322176976,2024-11-19 11h13.06.432106 +0100,
