study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,attempt2_click_accuracy,attempt2_click_positionGrid,attempt2_click_positionCoordinate,attempt2_click_latency,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,6,1,test item,2-2,resized_B_A23.png,Flasche,153,resized_A_B157.png,Hammer,3,resized_B_A142.png,Reiter,16,resized_A_A76.png,Mauer,1,resized_B_A23.png,Flasche,13,resized_A_A100.png,Ruderer,11,resized_A_A166.png,Pyramide,6,13.41,14.29,4.89,2.71,2.79,2.39,3.36,2.21,2.68,36.54,2.97,HF,0.45,1.95,5.91,3.61,2,7,nn,22.89022119,34.34350686,0,0,0,0,101.52791860001162,,0.0010844999924302101,10.073153900011675,10.073164100002032,99.31384670000989,103.30134689999977,1,13,[-0.27583333 -0.2475    ],7.257831399998395,111.67605440001353,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,6,2,test item,1-2,resized_A_A166.png,Pyramide,166,resized_A_B157.png,Hammer,3,resized_B_A142.png,Reiter,16,resized_A_A76.png,Mauer,1,resized_B_A23.png,Flasche,13,resized_A_A100.png,Ruderer,11,resized_A_A166.png,Pyramide,6,21.43,28.24,4.96,3.17,2.36,2.89,2.72,2.14,2.25,3.19,1.91,LF,None,None,None,6.95,3,8,nn,3.621559995,5.673504823,0,1,1,1,111.81471540001803,,,,,,113.67679120000685,1,6,[-0.05166667  0.055     ],2.4695973999914713,117.51371060000383,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,7,3,test item,1-2,resized_A_B20.png,Kerze,168,resized_A_A90.png,Fabrik,15,resized_B_B70.png,Quadrat,6,resized_B_B180.png,Geist,11,resized_A_B199.png,Fisch,16,resized_A_B20.png,Kerze,13,resized_B_A54.png,Flamme,2,20,21.18,5.37,3.24,2.64,2.61,3.28,2.38,2.41,6.77,2.24,LF,1.5,1.65,6.23,3.42,2,5,nn,7.48837236,15.97410436,0,2,2,2,117.65648460001103,,,,,,119.515078299999,1,13,[-0.22916667 -0.25083333],6.489391299983254,127.37273580001784,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,7,4,test item,2-2,resized_B_A54.png,Flamme,178,resized_A_A90.png,Fabrik,15,resized_B_B70.png,Quadrat,6,resized_B_B180.png,Geist,11,resized_A_B199.png,Fisch,16,resized_A_B20.png,Kerze,13,resized_B_A54.png,Flamme,2,4.76,5.95,5.96,2.61,2.39,3.46,2.79,2.64,2.15,5.91,2.18,LF,0.6,3.32,6.18,4.37,2,6,nn,10.13709796,21.54950823,0,3,3,3,127.51132530000177,,,,,,129.37346040000557,1,2,[-0.0625      0.27833333],5.805227400007425,137.83136770001147,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,10,5,test item,2-2,resized_B_A181.png,Wolf,155,resized_B_A68.png,Lampe,8,resized_B_B175.png,Propeller,10,resized_A_A113.png,Engel,9,resized_B_A181.png,Wolf,2,resized_B_A43.png,Blatt,11,resized_A_A122.png,Sturz,5,9.52,15.48,5.65,3.71,3.25,3.21,3.14,2.46,3.64,28.19,2.86,HF,None,None,None,None,1,4,nn,14.93586933,19.33406183,0,4,4,4,137.97593449999113,,,,,,139.83222949999617,1,2,[-0.06333333  0.2425    ],7.623030999995535,149.45795869998983,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,10,6,test item,1-2,resized_A_A113.png,Engel,139,resized_B_A68.png,Lampe,8,resized_B_B175.png,Propeller,10,resized_A_A113.png,Engel,9,resized_B_A181.png,Wolf,2,resized_B_A43.png,Blatt,11,resized_A_A122.png,Sturz,5,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,5,5,5,149.60153829999035,,,,,,151.45878079999238,1,9,[-0.21833333 -0.06416667],6.622687099996256,159.51654830001644,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,12,7,test item,1-2,resized_B_B24.png,Baby,142,resized_A_A134.png,Vogel,9,resized_B_A135.png,Kamel,5,resized_B_B24.png,Baby,13,resized_B_A77.png,Hang,2,resized_A_A73.png,Klinge,6,resized_A_B33.png,Zünder,10,8.33,9.52,5.33,3.11,3.39,2.57,3.25,2.68,3.07,324.66,3.92,HF,1.9,2.83,6.78,3.38,2,4,nn,7.995227258,9.834620032,0,6,6,6,159.65852210001322,,,,,,161.51723050000146,1,13,[-0.19833333 -0.21333333],2.8694801999954507,165.98852230000193,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,12,8,test item,2-2,resized_A_B33.png,Zünder,180,resized_A_A134.png,Vogel,9,resized_B_A135.png,Kamel,5,resized_B_B24.png,Baby,13,resized_B_A77.png,Hang,2,resized_A_A73.png,Klinge,6,resized_A_B33.png,Zünder,10,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,7,7,7,166.135248400009,,,,,,167.98939860000974,1,10,[-0.0475     -0.04916667],2.43582119999337,171.82690340001136,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,5,9,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B54.png,Telefon,13,resized_B_B19.png,Krawatte,2,resized_A_B150.png,Rakete,5,resized_B_A36.png,Stern,1,resized_A_B194.png,Raute,15,resized_A_B32.png,Kamin,14,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,8,8,8,171.96806210000068,,,,,,173.82788779999828,1,1,[-0.18916667  0.2425    ],3.1696479999809526,178.33238380000694,,,,,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
LEALCO-EEG,138.0,2,A-B,2.0,1.0,training,2,B,5,10,test item,2-2,resized_A_B32.png,Kamin,184,resized_A_B54.png,Telefon,13,resized_B_B19.png,Krawatte,2,resized_A_B150.png,Rakete,5,resized_B_A36.png,Stern,1,resized_A_B194.png,Raute,15,resized_A_B32.png,Kamin,14,8.33,8.24,5.95,2.41,2.46,3.11,3.1,2.31,2.11,6.46,2.22,LF,1.65,1.5,5.68,None,2,5,nn,4.488118369,5.910582114,0,9,9,9,178.48088640000788,,,,,,180.3332020000089,0,5,[-0.21333333  0.0475    ],6.7895275999908336,194.62959890000639,1,14,[-0.05916667 -0.23583333],12.260895599989453,,,138,B,2,2024-12-17_12h57.57.086,task,2023.2.2,59.961564634092184,2024-12-17 12h58.15.497876 +0100,
