study,subjID,team,partner_order,key_trained,key_untrained,task,block,partner,Group,Trial,class,list,target_stimID,target_label,trigger_item,shown_A_stimID,shown_A_label,shown_A_position,shown_B_stimID,shown_B_label,shown_B_position,shown_C_stimID,shown_C_label,shown_C_position,shown_D_stimID,shown_D_label,shown_D_position,shown_E_stimID,shown_E_label,shown_E_position,shown_F_stimID,shown_F_label,shown_F_position,FASQUEL_agreement_paper,FASQUEL_agreement_osf,FASQUEL_h,FASQUEL_image_agreement,FASQUEL_familiarity,FASQUEL_visual_complexity,FASQUEL_image_variability,FASQUEL_aoa,FASQUEL_concreteness,SUBTLEX_frequency,SUBTLEX_frequency_log,SUBTLEX_frequency_log_cat,BAWLR_valence,BAWLR_arousal,BAWLR_imageability,BIRCHENOUGH_aoa,length_syllables,DLEXDB_length_characters,DLEXDB_pos_tag,DLEXDB_type_frequency,DLEXDB_normalized_lemma_freq,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,triggerTest.started,triggerTest.stopped,Instruction.started,Instruction.stopped,trial.started,attempt1_click_accuracy,attempt1_click_positionGrid,attempt1_click_positionCoordinate,attempt1_click_latency,trial.stopped,closing_screen.started,closing_screen.stopped,subjectID,partner,block,date,expName,psychopyVersion,frameRate,expStart,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,7,1,test item,2-2,resized_B_A70.png,Brunnen,183,resized_A_B192.png,Katze,8,resized_A_A148.png,Giraffe,6,resized_A_B150.png,Rakete,15,resized_B_A36.png,Stern,13,resized_B_A129.png,Huhn,5,resized_B_A70.png,Brunnen,12,22.22,25,4.55,3.14,2.96,2.96,3.75,2.39,2.74,9.76,2.4,LF,0.55,1.86,5.73,4.33,2,7,nn,9.483091635,10.24337398,0,0,0,0,350.5283085999981,,0.0010938999912468717,10.068029100002605,10.068038700002944,348.31860459999007,352.3063891999918,1,12,[ 0.21583333 -0.05416667],4.622257399998489,358.2954108999984,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,7,2,test item,1-2,resized_B_A36.png,Stern,140,resized_A_B192.png,Katze,8,resized_A_A148.png,Giraffe,6,resized_A_B150.png,Rakete,15,resized_B_A36.png,Stern,13,resized_B_A129.png,Huhn,5,resized_B_A70.png,Brunnen,12,19.05,30.95,4.94,2.64,2.61,3.43,3.46,2.36,2.18,21.3,2.734,HF,1,2.44,6.67,3.29,1,5,nn,17.80532205,42.41230983,0,1,1,1,358.442403699999,,,,,,360.3128469999938,1,13,[-0.26916667 -0.22833333],3.8369950000051176,365.3179291999986,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,12,3,test item,1-2,resized_A_A113.png,Engel,139,resized_B_A147.png,Hund,1,resized_B_A150.png,Känguru,12,resized_A_A113.png,Engel,13,resized_B_A43.png,Blatt,2,resized_A_B39.png,Sessel,3,resized_A_A151.png,Fuchs,10,10.59,12.94,5.7,2.76,2.89,3,3.55,2.34,2.61,40.71,3.02,HF,2.15,2.22,6.05,4,2,5,nn,20.15156973,22.66131898,0,2,2,2,365.45396240000264,,,,,,367.31874580000294,1,13,[-0.2025 -0.23  ],7.2400168999884045,375.9939580999926,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,12,4,test item,2-2,resized_A_A151.png,Fuchs,181,resized_B_A147.png,Hund,1,resized_B_A150.png,Känguru,12,resized_A_A113.png,Engel,13,resized_B_A43.png,Blatt,2,resized_A_B39.png,Sessel,3,resized_A_A151.png,Fuchs,10,41.18,42.35,2.86,4.14,3.71,2.14,3.41,2.1,3.93,5.32,2.13,LF,-0.18,3.5,6.09,3.42,1,5,nn,10.40687556,12.56509642,0,3,3,3,376.1391181999934,,,,,,378.01116779999575,1,10,[-0.02583333 -0.03083333],3.8872029000049224,383.60023899999214,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,3,5,test item,2-2,resized_A_B33.png,Zünder,180,resized_B_A156.png,Bär,8,resized_A_A139.png,Gans,11,resized_B_B73.png,Treppe,3,resized_A_A76.png,Mauer,9,resized_B_A20.png,Grill,7,resized_A_B33.png,Zünder,13,10.59,11.76,5.31,3.07,2.71,2.32,2.93,3,2.54,4.8,2.09,LF,None,None,None,None,2,6,nn,0.711231873,0.825682979,0,4,4,4,383.7377153999987,,,,,,385.60085619999154,1,13,[-0.21833333 -0.27083333],2.802787199994782,389.5386193000013,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,3,6,test item,1-2,resized_B_B73.png,Treppe,137,resized_B_A156.png,Bär,8,resized_A_A139.png,Gans,11,resized_B_B73.png,Treppe,3,resized_A_A76.png,Mauer,9,resized_B_A20.png,Grill,7,resized_A_B33.png,Zünder,13,21.43,30.95,4.8,3.21,3.36,1.79,2.68,2.29,2.75,25,2.8,HF,0.05,2.36,5.95,3.25,2,6,nn,30.73829702,39.50198171,0,5,5,5,389.67718849999073,,,,,,391.53921919999993,1,3,[0.055  0.2525],2.502612500000396,395.3102543999994,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,5,7,test item,1-2,resized_A_B168.png,Frau,136,resized_A_B54.png,Telefon,14,resized_B_A142.png,Reiter,12,resized_B_B180.png,Geist,10,resized_A_B168.png,Frau,16,resized_A_B194.png,Raute,11,resized_B_B206.png,Axt,1,9.41,28.24,5.66,3.45,2.64,3.07,3.69,1.93,2.71,857.36,4.34,HF,1.4,2.5,6.56,3.68,1,4,nn,472.6503672,625.2055164,0,6,6,6,395.46237850000034,,,,,,397.3274565000029,1,16,[ 0.20416667 -0.22083333],8.590613300009863,407.35371509999095,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,5,8,test item,2-2,resized_B_B206.png,Axt,179,resized_A_B54.png,Telefon,14,resized_B_A142.png,Reiter,12,resized_B_B180.png,Geist,10,resized_A_B168.png,Frau,16,resized_A_B194.png,Raute,11,resized_B_B206.png,Axt,1,8.43,9.52,5.89,2.77,1.86,3.46,2.81,2.5,2.07,6.93,2.25,LF,None,None,None,None,1,3,nn,2.918503202,3.678785548,0,7,7,7,407.4968527000019,,,,,,409.3543179999979,1,1,[-0.27    0.3075],5.638664300000528,416.2779257999937,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,1,9,test item,2-2,resized_A_B196.png,Fenster,152,resized_A_B157.png,Hammer,3,resized_B_A132.png,Ente,13,resized_B_A06.png,Hut,6,resized_B_A37.png,Tasse,1,resized_A_B196.png,Fenster,2,resized_A_B139.png,Trichter,14,11.39,12.94,5.49,2.62,2.21,3.04,3.03,2.66,2.44,84.18,3.33,HF,1.14,1.91,6.14,2.84,2,7,nn,100.8477745,117.9336896,0,8,8,8,416.42500079999445,,,,,,418.29510659999505,1,2,[-0.0425      0.20666667],2.936425000007148,422.833166299999,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
LEALCO-EEG,142.0,2,B-A,2.0,2.0,training,2,B,1,10,test item,1-2,resized_A_B139.png,Trichter,169,resized_A_B157.png,Hammer,3,resized_B_A132.png,Ente,13,resized_B_A06.png,Hut,6,resized_B_A37.png,Tasse,1,resized_A_B196.png,Fenster,2,resized_A_B139.png,Trichter,14,22.08,30.59,4.95,2.97,2.5,2.89,3.1,2.93,2.58,0.79,1.32,LF,None,None,None,None,2,8,nn,3.286381756,3.924037918,0,9,9,9,422.9678367000015,,,,,,424.83404869999504,1,14,[-0.0675 -0.27  ],2.7361387999990257,429.08853100000124,,,142,B,2,2025-01-07_12h37.31.642,task,2023.2.2,59.584742018756934,2025-01-07 12h37.43.202815 +0100,
