"contrast","estimate","SE","df","z.ratio","p.value","Bonf2","Bonf3"
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (different block1 c_FASQUEL_concreteness-0.910780159521436)",-1.19602950449019,1.30460886162999,Inf,-0.916772482287035,0.359261875147904,0.718523750295808,1.07778562544371
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (same block2 c_FASQUEL_concreteness-0.910780159521436)",-1.32150893465676,1.28003224782369,Inf,-1.03240284524361,0.30188343962037,0.603766879240741,0.905650318861111
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.910780159521436)",0.945929802158133,1.28637145098629,Inf,0.735347322449412,0.462127994737223,0.924255989474447,1.38638398421167
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (same block1 c_FASQUEL_concreteness-0.0207801595214354)",-0.0401029706063292,0.867472031823186,Inf,-0.0462296986359824,0.963127171684834,1.92625434336967,2.8893815150545
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (different block1 c_FASQUEL_concreteness-0.0207801595214354)",-0.46391420432567,1.08122968408961,Inf,-0.429061661136581,0.66787835202628,1.33575670405256,2.00363505607884
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (same block2 c_FASQUEL_concreteness-0.0207801595214354)",-0.244465818706469,1.08057404272053,Inf,-0.226236989823469,0.821017102598402,1.6420342051968,2.46305130779521
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",-0.100160548860957,1.08399635919108,Inf,-0.0923993406543368,0.926380763270379,1.85276152654076,2.77914228981114
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - same block1 c_FASQUEL_concreteness1.22921984047856",-0.096427367525331,2.08583162708047,Inf,-0.0462296986359824,0.963127171684834,1.92625434336967,2.8893815150545
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - different block1 c_FASQUEL_concreteness1.22921984047856",0.564337621748092,1.70854105811247,Inf,0.330303810416796,0.741170414067361,1.48234082813472,2.22351124220208
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - same block2 c_FASQUEL_concreteness1.22921984047856",1.26823518684169,1.6753643012576,Inf,0.756990695032537,0.449055437143591,0.898110874287182,1.34716631143077
"(same block1 c_FASQUEL_concreteness-0.910780159521436) - different block2 c_FASQUEL_concreteness1.22921984047856",-1.56938856995518,1.68844999204326,Inf,-0.929484780331579,0.35263790909758,0.70527581819516,1.05791372729274
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - (same block2 c_FASQUEL_concreteness-0.910780159521436)",-0.12547943016657,1.27147802908419,Inf,-0.0986878477616714,0.921386117842383,1.84277223568477,2.76415835352715
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.910780159521436)",2.14195930664832,1.27159977860183,Inf,1.68446027019875,0.0920927514311427,0.184185502862285,0.276278254293428
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - (same block1 c_FASQUEL_concreteness-0.0207801595214354)",1.15592653388386,1.06943514385926,Inf,1.08087576934538,0.279752378382031,0.559504756764062,0.839257135146093
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - (different block1 c_FASQUEL_concreteness-0.0207801595214354)",0.732115300164519,0.860150313010042,Inf,0.851148094805113,0.394687091732106,0.789374183464212,1.18406127519632
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - (same block2 c_FASQUEL_concreteness-0.0207801595214354)",0.951563685783719,1.07021236322999,Inf,0.88913538889779,0.373930321770682,0.747860643541364,1.12179096531205
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",1.09586895562923,1.06693632804723,Inf,1.02711748285388,0.304365147306653,0.608730294613307,0.91309544191996
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - same block1 c_FASQUEL_concreteness1.22921984047856",1.09960213696486,1.70318448095505,Inf,0.645615404121265,0.5185284587851,1.0370569175702,1.5555853763553
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - different block1 c_FASQUEL_concreteness1.22921984047856",1.76036712623828,2.06822659532752,Inf,0.851148094805113,0.394687091732106,0.789374183464212,1.18406127519632
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - same block2 c_FASQUEL_concreteness1.22921984047856",2.46426469133188,1.66850660822358,Inf,1.47692833770406,0.139694847869622,0.279389695739245,0.419084543608867
"(different block1 c_FASQUEL_concreteness-0.910780159521436) - different block2 c_FASQUEL_concreteness1.22921984047856",-0.373359065464996,1.67800478138527,Inf,-0.222501788795126,0.823923280912273,1.64784656182455,2.47176984273682
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.910780159521436)",2.26743873681489,1.2406960521335,Inf,1.82755376138726,0.0676165506881567,0.135233101376313,0.20284965206447
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - (same block1 c_FASQUEL_concreteness-0.0207801595214354)",1.28140596405043,1.03718164865604,Inf,1.2354691829641,0.216655938782313,0.433311877564626,0.649967816346938
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - (different block1 c_FASQUEL_concreteness-0.0207801595214354)",0.857594730331089,1.03979475557361,Inf,0.824773086932903,0.409500428813096,0.819000857626191,1.22850128643929
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - (same block2 c_FASQUEL_concreteness-0.0207801595214354)",1.07704311595029,0.825352160260152,Inf,1.30494977514908,0.191909950530999,0.383819901061997,0.575729851592996
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",1.2213483857958,1.02940024870402,Inf,1.18646599059349,0.235438324549555,0.47087664909911,0.706314973648665
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - same block1 c_FASQUEL_concreteness1.22921984047856",1.22508156713143,1.68127276155543,Inf,0.728663186096014,0.466207717140247,0.932415434280493,1.39862315142074
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - different block1 c_FASQUEL_concreteness1.22921984047856",1.88584655640485,1.68156635941248,Inf,1.12148209070009,0.262082710613949,0.524165421227898,0.786248131841848
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - same block2 c_FASQUEL_concreteness1.22921984047856",2.58974412149845,1.98455463253565,Inf,1.30494977514908,0.191909950530999,0.383819901061997,0.575729851592996
"(same block2 c_FASQUEL_concreteness-0.910780159521436) - different block2 c_FASQUEL_concreteness1.22921984047856",-0.247879635298426,1.65394635396723,Inf,-0.149871629574835,0.88086589519319,1.76173179038638,2.64259768557957
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - (same block1 c_FASQUEL_concreteness-0.0207801595214354)",-0.986032772764462,1.0461126610247,Inf,-0.942568434071542,0.345901692011418,0.691803384022837,1.03770507603425
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - (different block1 c_FASQUEL_concreteness-0.0207801595214354)",-1.4098440064838,1.03912137698688,Inf,-1.35676547293436,0.174855741450605,0.34971148290121,0.524567224351814
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - (same block2 c_FASQUEL_concreteness-0.0207801595214354)",-1.1903956208646,1.0333813204164,Inf,-1.15194226695034,0.249344798099691,0.498689596199382,0.748034394299073
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",-1.04609035101909,0.834105556089062,Inf,-1.25414624489972,0.209788854186793,0.419577708373585,0.629366562560378
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - same block1 c_FASQUEL_concreteness1.22921984047856",-1.04235716968346,1.68776962028849,Inf,-0.617594461443911,0.536842696429443,1.07368539285889,1.61052808928833
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - different block1 c_FASQUEL_concreteness1.22921984047856",-0.38159218041004,1.68043581184669,Inf,-0.22707929557315,0.82036208327672,1.64072416655344,2.46108624983016
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - same block2 c_FASQUEL_concreteness1.22921984047856",0.322305384683557,1.6450620286169,Inf,0.195922937297713,0.844670483818068,1.68934096763614,2.5340114514542
"(different block2 c_FASQUEL_concreteness-0.910780159521436) - different block2 c_FASQUEL_concreteness1.22921984047856",-2.51531837211332,2.00560212362988,Inf,-1.25414624489972,0.209788854186793,0.419577708373585,0.629366562560378
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - (different block1 c_FASQUEL_concreteness-0.0207801595214354)",-0.423811233719341,0.496350985450093,Inf,-0.853853918180553,0.393185935192947,0.786371870385894,1.17955780557884
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - (same block2 c_FASQUEL_concreteness-0.0207801595214354)",-0.20436284810014,0.490904276563723,Inf,-0.416298773216355,0.677191390159545,1.35438278031909,2.03157417047863
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",-0.0600575782546282,0.501983334812266,Inf,-0.119640581847381,0.904767870928758,1.80953574185752,2.71430361278627
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - same block1 c_FASQUEL_concreteness1.22921984047856",-0.0563243969190015,1.21835959525728,Inf,-0.0462296986359822,0.963127171684834,1.92625434336967,2.8893815150545
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - different block1 c_FASQUEL_concreteness1.22921984047856",0.604440592354422,1.21846163216063,Inf,0.496068629820212,0.619845991051275,1.23969198210255,1.85953797315382
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - same block2 c_FASQUEL_concreteness1.22921984047856",1.30833815744802,1.17007420764035,Inf,1.11816682130487,0.263495751788959,0.526991503577917,0.790487255366876
"(same block1 c_FASQUEL_concreteness-0.0207801595214354) - different block2 c_FASQUEL_concreteness1.22921984047856",-1.52928559934886,1.19098579377795,Inf,-1.28405024420802,0.199124375740841,0.398248751481682,0.597373127222523
"(different block1 c_FASQUEL_concreteness-0.0207801595214354) - (same block2 c_FASQUEL_concreteness-0.0207801595214354)",0.219448385619201,0.497613469300024,Inf,0.44100169942725,0.659211766691767,1.31842353338353,1.9776353000753
"(different block1 c_FASQUEL_concreteness-0.0207801595214354) - (different block2 c_FASQUEL_concreteness-0.0207801595214354)",0.363753655464712,0.485246536241974,Inf,0.749626485295142,0.453479694779126,0.906959389558252,1.36043908433738
"(different block1 c_FASQUEL_concreteness-0.0207801595214354) - same block1 c_FASQUEL_concreteness1.22921984047856",0.367486836800339,1.22136795471014,Inf,0.300881348149954,0.763504973685842,1.52700994737168,2.29051492105753
