"contrast","estimate","SE","df","z.ratio","p.value","Bonf2","Bonf3"
"(same entrainment_VOTinv-2.02025433359911) - (different entrainment_VOTinv-2.02025433359911)",-3.34057857308516,1.17975689996442,Inf,-2.83158214475024,0.0046318334462946,0.0092636668925892,0.0138955003388838
"(same entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv0.341850180291992",-1.29630284531038,1.12323250695512,Inf,-1.15408238034744,0.248466396319934,0.496932792639869,0.745399188959803
"(same entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv0.341850180291992",-1.43752163051621,1.2312187060048,Inf,-1.16755993350755,0.242984319719251,0.485968639438502,0.728952959157753
"(same entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv2.25907337840492",-2.34845861242114,2.03491419019337,Inf,-1.15408238034744,0.248466396319934,0.496932792639869,0.745399188959803
"(same entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv2.25907337840492",0.107111511737403,1.86243404720465,Inf,0.0575115730396829,0.954137687415869,1.90827537483174,2.86241306224761
"(different entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv0.341850180291992",2.04427572777478,1.11537806766388,Inf,1.83280968762139,0.0668308779792068,0.133661755958414,0.20049263393762
"(different entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv0.341850180291992",1.90305694256895,1.12228214870946,Inf,1.69570276490392,0.0899421846546044,0.179884369309209,0.269826553963813
"(different entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv2.25907337840492",0.992119960664027,1.72607445977763,Inf,0.57478398747169,0.565437397481281,1.13087479496256,1.69631219244384
"(different entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv2.25907337840492",3.44769008482257,2.03319246520065,Inf,1.69570276490392,0.0899421846546044,0.179884369309209,0.269826553963813
"same entrainment_VOTinv0.341850180291992 - different entrainment_VOTinv0.341850180291992",-0.141218785205827,0.384124159298186,Inf,-0.367638384067904,0.713142889860463,1.42628577972093,2.13942866958139
"same entrainment_VOTinv0.341850180291992 - same entrainment_VOTinv2.25907337840492",-1.05215576711075,0.911681683238246,Inf,-1.15408238034744,0.248466396319934,0.496932792639869,0.745399188959803
"same entrainment_VOTinv0.341850180291992 - different entrainment_VOTinv2.25907337840492",1.40341435704779,1.05338011578318,Inf,1.33229623003122,0.182762865487848,0.365525730975697,0.548288596463545
"different entrainment_VOTinv0.341850180291992 - same entrainment_VOTinv2.25907337840492",-0.910936981904924,0.944517547231094,Inf,-0.964446859219701,0.334821938688149,0.669643877376298,1.00446581606445
"different entrainment_VOTinv0.341850180291992 - different entrainment_VOTinv2.25907337840492",1.54463314225361,0.910910316491187,Inf,1.69570276490392,0.0899421846546045,0.179884369309209,0.269826553963813
"same entrainment_VOTinv2.25907337840492 - different entrainment_VOTinv2.25907337840492",2.45557012415854,1.02472383972538,Inf,2.39632379863106,0.0165604535824058,0.0331209071648116,0.0496813607472174
