"contrast","estimate","SE","df","z.ratio","p.value","Bonf2","Bonf3"
"(same entrainment_VOT-1596.35185185185) - (different entrainment_VOT-1596.35185185185)",2.47023590583228,1.79035240719562,Inf,1.37974842042502,0.167664118766233,0.335328237532467,0.5029923562987
"(same entrainment_VOT-1596.35185185185) - (same entrainment_VOT-99.0857142857144)",0.699532975793849,1.80012840622197,Inf,0.388601709398052,0.697570802064265,1.39514160412853,2.09271240619279
"(same entrainment_VOT-1596.35185185185) - (different entrainment_VOT-99.0857142857144)",0.464998064973352,1.79901611251506,Inf,0.258473541030867,0.796041466500996,1.59208293300199,2.38812439950299
"(same entrainment_VOT-1596.35185185185) - same entrainment_VOT385.121233859397",0.925757772333099,2.38227920759048,Inf,0.388601709398052,0.697570802064265,1.39514160412853,2.09271240619279
"(same entrainment_VOT-1596.35185185185) - different entrainment_VOT385.121233859397",-0.183483905510338,2.17474865729047,Inf,-0.084370166131723,0.932762126669015,1.86552425333803,2.79828638000704
"(different entrainment_VOT-1596.35185185185) - (same entrainment_VOT-99.0857142857144)",-1.77070293003843,1.93221558473784,Inf,-0.916410644870499,0.359451554226604,0.718903108453208,1.07835466267981
"(different entrainment_VOT-1596.35185185185) - (different entrainment_VOT-99.0857142857144)",-2.00523784085892,1.86149698310083,Inf,-1.07721788381234,0.281382937493634,0.562765874987268,0.844148812480902
"(different entrainment_VOT-1596.35185185185) - same entrainment_VOT385.121233859397",-1.54447813349918,2.30023600898889,Inf,-0.671443333407375,0.501938147324077,1.00387629464815,1.50581444197223
"(different entrainment_VOT-1596.35185185185) - different entrainment_VOT385.121233859397",-2.65371981134262,2.46349401659667,Inf,-1.07721788381234,0.281382937493634,0.562765874987268,0.844148812480902
"(same entrainment_VOT-99.0857142857144) - (different entrainment_VOT-99.0857142857144)",-0.234534910820497,0.363788409557772,Inf,-0.64470143813983,0.519120684172379,1.03824136834476,1.55736205251714
"(same entrainment_VOT-99.0857142857144) - same entrainment_VOT385.121233859397",0.22622479653925,0.582150801368512,Inf,0.388601709398052,0.697570802064265,1.39514160412853,2.09271240619279
"(same entrainment_VOT-99.0857142857144) - different entrainment_VOT385.121233859397",-0.883016881304188,0.671400731607235,Inf,-1.31518605764753,0.18844737973373,0.376894759467461,0.565342139201191
"(different entrainment_VOT-99.0857142857144) - same entrainment_VOT385.121233859397",0.460759707359747,0.717868249924871,Inf,0.641844387752166,0.520974225772363,1.04194845154473,1.56292267731709
"(different entrainment_VOT-99.0857142857144) - different entrainment_VOT385.121233859397",-0.648481970483691,0.601997033495838,Inf,-1.07721788381234,0.281382937493634,0.562765874987267,0.844148812480901
"same entrainment_VOT385.121233859397 - different entrainment_VOT385.121233859397",-1.10924167784344,0.673722150473876,Inf,-1.64643789292549,0.0996736369821359,0.199347273964272,0.299020910946408
