"contrast","estimate","SE","df","z.ratio","p.value"
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629)",5.35470167240988,2.97133656443706,Inf,1.80211886344298,0.0715267064724707
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629)",3.27905820900705,2.08341617308044,Inf,1.57388535779617,0.115513955591107
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log-1.79619292123629)",2.56106489115785,2.45455981458667,Inf,1.04339070326918,0.296767377499423
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",5.94053505277077,3.77443949354036,Inf,1.57388535779617,0.115513955591107
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log-1.79619292123629)",0.29358467907574,3.07042319216102,Inf,0.0956170080480374,0.923824756624801
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",5.68149823937462,2.47312395418537,Inf,2.29729619081955,0.0216018789546493
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log0.114807078763709)",2.05744601275296,2.40121523553573,Inf,0.856835315012454,0.391535905526168
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",4.23603466804992,2.48456432139611,Inf,1.70494063348283,0.0882054970611883
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv0.341850180291992 c_SUBTLEX_frequency_log0.114807078763709",4.1136192312606,2.45436157598221,Inf,1.67604450441022,0.0937294756414905
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - same entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",3.06281126719128,2.84742312909458,Inf,1.07564317922963,0.28208686845583
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - different entrainment_VOTinv2.25907337840492 c_SUBTLEX_frequency_log0.114807078763709",5.78253056464079,2.8473339753064,Inf,2.03085785327256,0.0422694162774497
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",10.8248744581701,4.71200644541545,Inf,2.29729619081954,0.0216018789546493
"(same entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log-1.79619292123629) - (different entrainment_VOTinv-2.02025433359911 c_SUBTLEX_frequency_log1.84480707876371)",-0.927510706873655,2.66629075710387,Inf,-0.347865552323003,0.727941156695155
