"contrast","estimate","SE","df","z.ratio","p.value","Bonf2","Bonf3"
"(same c_FASQUEL_image_agreement-0.648222831505484) - (different c_FASQUEL_image_agreement-0.648222831505484)",-1.86338528825515,0.841713283922117,Inf,-2.21380049934862,0.0268425057186507,0.0536850114373014,0.0805275171559521
"(same c_FASQUEL_image_agreement-0.648222831505484) - (same c_FASQUEL_image_agreement-0.0882228315054836)",0.0479778733961463,0.552889634431995,Inf,0.0867765832604835,0.930849101247179,1.86169820249436,2.79254730374154
"(same c_FASQUEL_image_agreement-0.648222831505484) - (different c_FASQUEL_image_agreement-0.0882228315054836)",-0.699337531385431,0.732644704580727,Inf,-0.954538437271096,0.339811162500372,0.679622325000743,1.01943348750111
"(same c_FASQUEL_image_agreement-0.648222831505484) - same c_FASQUEL_image_agreement1.08177716849452",0.148217358884523,1.70803404922741,Inf,0.0867765832604833,0.930849101247179,1.86169820249436,2.79254730374154
"(same c_FASQUEL_image_agreement-0.648222831505484) - different c_FASQUEL_image_agreement1.08177716849452",1.73269081778879,1.39843817558513,Inf,1.23901853370372,0.215338634497481,0.430677268994962,0.646015903492443
"(different c_FASQUEL_image_agreement-0.648222831505484) - (same c_FASQUEL_image_agreement-0.0882228315054836)",1.91136316165129,0.718171162717571,Inf,2.6614312309877,0.00778092334205208,0.0155618466841042,0.0233427700261562
"(different c_FASQUEL_image_agreement-0.648222831505484) - (different c_FASQUEL_image_agreement-0.0882228315054836)",1.16404775686971,0.524796986995457,Inf,2.21809153961433,0.0265485915634648,0.0530971831269296,0.0796457746903943
"(different c_FASQUEL_image_agreement-0.648222831505484) - same c_FASQUEL_image_agreement1.08177716849452",2.01160264713967,1.44435680026828,Inf,1.39273249294497,0.163700698979649,0.327401397959299,0.491102096938948
"(different c_FASQUEL_image_agreement-0.648222831505484) - different c_FASQUEL_image_agreement1.08177716849452",3.59607610604394,1.62124783482525,Inf,2.21809153961433,0.0265485915634648,0.0530971831269296,0.0796457746903944
"(same c_FASQUEL_image_agreement-0.0882228315054836) - (different c_FASQUEL_image_agreement-0.0882228315054836)",-0.747315404781577,0.394434095203102,Inf,-1.89465214561832,0.0581385015201467,0.116277003040293,0.17441550456044
"(same c_FASQUEL_image_agreement-0.0882228315054836) - same c_FASQUEL_image_agreement1.08177716849452",0.100239485488377,1.15514441479542,Inf,0.0867765832604832,0.930849101247179,1.86169820249436,2.79254730374154
"(same c_FASQUEL_image_agreement-0.0882228315054836) - different c_FASQUEL_image_agreement1.08177716849452",1.68471294439265,1.08657891129333,Inf,1.55047454619506,0.121027658258057,0.242055316516114,0.363082974774171
"(different c_FASQUEL_image_agreement-0.0882228315054836) - same c_FASQUEL_image_agreement1.08177716849452",0.847554890269954,1.15420509884762,Inf,0.734319135408577,0.462754258147463,0.925508516294926,1.38826277444239
"(different c_FASQUEL_image_agreement-0.0882228315054836) - different c_FASQUEL_image_agreement1.08177716849452",2.43202834917422,1.09645084782979,Inf,2.21809153961433,0.0265485915634648,0.0530971831269296,0.0796457746903943
"same c_FASQUEL_image_agreement1.08177716849452 - different c_FASQUEL_image_agreement1.08177716849452",1.58447345890427,1.23876320244761,Inf,1.27907695011733,0.200869959615022,0.401739919230044,0.602609878845066
