"contrast","estimate","SE","df","z.ratio","p.value"
"(same c_FASQUEL_image_agreement-0.648222831505484) - (different c_FASQUEL_image_agreement-0.648222831505484)",-1.86338528825515,0.841713283922117,Inf,-2.21380049934862,0.231215480131433
"(same c_FASQUEL_image_agreement-0.648222831505484) - (same c_FASQUEL_image_agreement-0.0882228315054836)",0.0479778733961463,0.552889634431995,Inf,0.0867765832604835,0.999999313884377
"(same c_FASQUEL_image_agreement-0.648222831505484) - (different c_FASQUEL_image_agreement-0.0882228315054836)",-0.699337531385431,0.732644704580727,Inf,-0.954538437271096,0.932036334637789
"(same c_FASQUEL_image_agreement-0.648222831505484) - same c_FASQUEL_image_agreement1.08177716849452",0.148217358884523,1.70803404922741,Inf,0.0867765832604833,0.999999313884377
"(same c_FASQUEL_image_agreement-0.648222831505484) - different c_FASQUEL_image_agreement1.08177716849452",1.73269081778879,1.39843817558513,Inf,1.23901853370372,0.817663096988136
"(different c_FASQUEL_image_agreement-0.648222831505484) - (same c_FASQUEL_image_agreement-0.0882228315054836)",1.91136316165129,0.718171162717571,Inf,2.6614312309877,0.0831341555945347
"(different c_FASQUEL_image_agreement-0.648222831505484) - (different c_FASQUEL_image_agreement-0.0882228315054836)",1.16404775686971,0.524796986995457,Inf,2.21809153961433,0.229253906487529
"(different c_FASQUEL_image_agreement-0.648222831505484) - same c_FASQUEL_image_agreement1.08177716849452",2.01160264713967,1.44435680026828,Inf,1.39273249294497,0.731518406245163
"(different c_FASQUEL_image_agreement-0.648222831505484) - different c_FASQUEL_image_agreement1.08177716849452",3.59607610604394,1.62124783482525,Inf,2.21809153961433,0.229253906487529
"(same c_FASQUEL_image_agreement-0.0882228315054836) - (different c_FASQUEL_image_agreement-0.0882228315054836)",-0.747315404781577,0.394434095203102,Inf,-1.89465214561832,0.405354166965682
"(same c_FASQUEL_image_agreement-0.0882228315054836) - same c_FASQUEL_image_agreement1.08177716849452",0.100239485488377,1.15514441479542,Inf,0.0867765832604832,0.999999313884377
"(same c_FASQUEL_image_agreement-0.0882228315054836) - different c_FASQUEL_image_agreement1.08177716849452",1.68471294439265,1.08657891129333,Inf,1.55047454619506,0.631357227367873
"(different c_FASQUEL_image_agreement-0.0882228315054836) - same c_FASQUEL_image_agreement1.08177716849452",0.847554890269954,1.15420509884762,Inf,0.734319135408577,0.977717803830314
"(different c_FASQUEL_image_agreement-0.0882228315054836) - different c_FASQUEL_image_agreement1.08177716849452",2.43202834917422,1.09645084782979,Inf,2.21809153961433,0.229253906487529
"same c_FASQUEL_image_agreement1.08177716849452 - different c_FASQUEL_image_agreement1.08177716849452",1.58447345890427,1.23876320244761,Inf,1.27907695011733,0.796626016366911
