"subjID","partner_type","block","mean","sd","sem","n"
"102","same","1",8.61930521559048,7.46105311417886,1.59070186871019,22
"102","same","2",11.5177687090875,8.55885998155352,1.67853054077115,26
"102","different","1",11.9528982995187,7.19297413304079,1.43859482660816,25
"102","different","2",9.10816635937132,8.11888597891819,1.56248033514943,27
"104","same","1",19.0121218111451,8.86662223174843,1.98263700410004,20
"104","same","2",21.0520844360434,12.690442819995,2.59042579324619,24
"104","different","1",17.2325693049911,8.67124094665161,2.10308484283679,17
"104","different","2",19.6311225707285,9.60958359517019,2.09698305818444,21
"105","same","1",12.9742137135231,6.22409717789301,1.6634599415473,14
"105","same","2",14.4153990833726,9.61516658175556,2.09820136573832,21
"105","different","1",20.6134190015854,10.4172808394833,2.88923386289734,13
"105","different","2",15.0100468620173,11.3607267862131,2.93332704292105,15
"106","same","1",6.39233718183185,7.80294498509504,2.75875765609313,8
"106","same","2",13.5234998623694,6.2854876341625,1.7432806120206,13
"106","different","1",10.8627943881478,8.13662319472682,1.81940425707107,20
"106","different","2",12.286056937185,7.84737396165026,1.84964378092988,18
"108","same","1",18.0943708508846,6.33440423679611,1.38228032845558,21
"108","same","2",17.945052225451,9.32770954583628,1.94496189044464,23
"108","different","1",15.8550897881129,7.33062406620214,1.77793748980272,17
"108","different","2",15.3853283675599,5.03252183026915,1.22056582761332,17
"109","same","1",10.4502910616511,13.0967450990569,2.85794408447477,21
"109","same","2",13.8704962606706,12.5869860098234,2.68355443405239,22
"109","different","1",16.1134404329017,9.09858627062084,2.03450574002545,20
"109","different","2",11.4973266149736,12.7762956180326,2.78801627479844,21
"110","same","1",17.2187987580502,7.8010804684523,2.01423031578265,15
"110","same","2",16.0980145441198,7.26875314718368,1.51563980341052,23
"110","different","1",14.0602347220588,10.9260005613538,2.38424879121589,21
"110","different","2",14.3669471758024,9.58441492192392,1.87965841204846,26
"111","same","1",9.72630680594941,9.42133498913877,2.61300818358945,13
"111","same","2",15.1814975326039,9.85686439466072,2.39064076685741,17
"111","different","1",11.9019965586803,9.02795266788913,1.97006078433717,21
"111","different","2",14.1067450228312,9.01563965252506,2.01595831236886,20
"112","same","1",18.7720711218262,14.9714770688458,3.34772404495185,20
"112","same","2",16.4781413446246,12.0349127308877,2.69108829695426,20
"112","different","1",18.052901952926,11.4589697262802,2.86474243157004,16
"112","different","2",17.7158147700471,11.138304297948,2.43057726470469,21
"113","same","1",8.71183491236696,9.83306512920363,2.31767567756962,18
"113","same","2",10.7184335193587,5.7837081930321,1.23309072994626,22
"113","different","1",10.5596985531939,7.89250068632729,1.97312517158182,16
"113","different","2",7.33209280572308,8.37554794797977,1.92148247905386,19
"114","same","1",6.28312745437669,7.98987671782215,1.83300343075448,19
"114","same","2",5.98797151092211,6.2292031072864,1.27153075975093,24
"114","different","1",8.01121357753708,7.16423224651652,1.49384568905119,23
"114","different","2",8.57946974299404,7.60109683969937,1.49069773501291,26
"116","same","1",12.1882798459551,7.33983883276469,1.49823832787823,24
"116","same","2",14.2626443500482,7.17241966072745,1.46406403249069,24
"116","different","1",10.7181187522895,11.6691492191199,3.23643968081366,13
"116","different","2",8.29874593766882,7.21550149385399,1.70071001198861,18
"117","same","1",4.74016108399283,6.92003609887374,1.5875651600339,19
"117","same","2",2.17181521273741,6.31464909342372,1.41199846269529,20
"117","different","1",5.11400947965658,7.28585901210948,1.76708036942857,17
