"contrast","estimate","SE","df","z.ratio","p.value","Bonf2","Bonf3"
"(same c_entrainment_ACC-0.371773778804098) - (different c_entrainment_ACC-0.371773778804098)",-2.11204440162601,1.16568767268596,Inf,-1.81184415955902,0.0700102796076864,0.140020559215373,0.210030838823059
"(same c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.00484959781927833",-2.36684749569599,1.51396987003563,Inf,-1.56333857267601,0.117972980157013,0.235945960314025,0.353918940471038
"(same c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.00484959781927833",-2.44179241744747,1.59428909373255,Inf,-1.53158697945474,0.125624387594824,0.251248775189648,0.376873162784472
"(same c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.346297772286321",-4.51264036679395,2.88654066730377,Inf,-1.56333857267601,0.117972980157013,0.235945960314025,0.353918940471038
"(same c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.346297772286321",-2.74074321292334,2.65340111772579,Inf,-1.03291703414688,0.30164272644366,0.603285452887319,0.904928179330979
"(different c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.00484959781927833",-0.254803094069974,1.41962963920038,Inf,-0.179485611622968,0.857556414141203,1.71511282828241,2.57266924242361
"(different c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.00484959781927833",-0.32974801582146,1.40791252649214,Inf,-0.234210584547492,0.81482149824363,1.62964299648726,2.44446449473089
"(different c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.346297772286321",-2.40059596516794,2.56369533227545,Inf,-0.936381142854932,0.349076983404829,0.698153966809657,1.04723095021449
"(different c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.346297772286321",-0.628698811297331,2.68433133588737,Inf,-0.234210584547492,0.81482149824363,1.62964299648726,2.44446449473089
"same c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.00484959781927833",-0.0749449217514866,0.385761054894873,Inf,-0.194278092100071,0.845958138784398,1.6919162775688,2.53787441635319
"same c_entrainment_ACC0.00484959781927833 - same c_entrainment_ACC0.346297772286321",-2.14579287109796,1.37257079726815,Inf,-1.56333857267601,0.117972980157013,0.235945960314026,0.353918940471038
"same c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.346297772286321",-0.373895717227357,1.3722001910929,Inf,-0.272478986414923,0.785253746642404,1.57050749328481,2.35576123992721
"different c_entrainment_ACC0.00484959781927833 - same c_entrainment_ACC0.346297772286321",-2.07084794934648,1.3933194291031,Inf,-1.48626934074946,0.137207892868369,0.274415785736739,0.411623678605108
"different c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.346297772286321",-0.298950795475871,1.27641880939523,Inf,-0.234210584547492,0.81482149824363,1.62964299648726,2.44446449473089
"same c_entrainment_ACC0.346297772286321 - different c_entrainment_ACC0.346297772286321",1.77189715387061,1.08120831721072,Inf,1.63881198994261,0.101252421332886,0.202504842665771,0.303757263998657
