"contrast","estimate","SE","df","z.ratio","p.value"
"(same c_entrainment_ACC-0.371773778804098) - (different c_entrainment_ACC-0.371773778804098)",-2.11204440162601,1.16568767268596,Inf,-1.81184415955902,0.457979938049218
"(same c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.00484959781927833",-2.36684749569599,1.51396987003563,Inf,-1.56333857267601,0.62287085226259
"(same c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.00484959781927833",-2.44179241744747,1.59428909373255,Inf,-1.53158697945474,0.643756363591496
"(same c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.346297772286321",-4.51264036679395,2.88654066730377,Inf,-1.56333857267601,0.62287085226259
"(same c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.346297772286321",-2.74074321292334,2.65340111772579,Inf,-1.03291703414688,0.906969217407199
"(different c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.00484959781927833",-0.254803094069974,1.41962963920038,Inf,-0.179485611622968,0.999974379644641
"(different c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.00484959781927833",-0.32974801582146,1.40791252649214,Inf,-0.234210584547492,0.999904275366228
"(different c_entrainment_ACC-0.371773778804098) - same c_entrainment_ACC0.346297772286321",-2.40059596516794,2.56369533227545,Inf,-0.936381142854932,0.937144415302109
"(different c_entrainment_ACC-0.371773778804098) - different c_entrainment_ACC0.346297772286321",-0.628698811297331,2.68433133588737,Inf,-0.234210584547492,0.999904275366228
"same c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.00484959781927833",-0.0749449217514866,0.385761054894873,Inf,-0.194278092100071,0.999962048813316
"same c_entrainment_ACC0.00484959781927833 - same c_entrainment_ACC0.346297772286321",-2.14579287109796,1.37257079726815,Inf,-1.56333857267601,0.622870852262591
"same c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.346297772286321",-0.373895717227357,1.3722001910929,Inf,-0.272478986414923,0.999798163919922
"different c_entrainment_ACC0.00484959781927833 - same c_entrainment_ACC0.346297772286321",-2.07084794934648,1.3933194291031,Inf,-1.48626934074946,0.673139582972844
"different c_entrainment_ACC0.00484959781927833 - different c_entrainment_ACC0.346297772286321",-0.298950795475871,1.27641880939523,Inf,-0.234210584547492,0.999904275366228
"same c_entrainment_ACC0.346297772286321 - different c_entrainment_ACC0.346297772286321",1.77189715387061,1.08120831721072,Inf,1.63881198994261,0.572629593877643
