"contrast","estimate","SE","df","z.ratio","p.value"
"(same entrainment_VOT-1596.35185185185) - (different entrainment_VOT-1596.35185185185)",3.14917065828365,1.87300233410744,Inf,1.68134903034403,0.544179361825722
"(same entrainment_VOT-1596.35185185185) - (same entrainment_VOT-99.0857142857144)",1.7950078709146,2.78665555676432,Inf,0.644144148550185,0.987627778990578
"(same entrainment_VOT-1596.35185185185) - (different entrainment_VOT-99.0857142857144)",1.7243970436922,2.78272851840636,Inf,0.61967850341353,0.989633838168412
"(same entrainment_VOT-1596.35185185185) - same entrainment_VOT385.121233859397",2.37550272167296,3.6878433608683,Inf,0.644144148550185,0.987627778990578
"(same entrainment_VOT-1596.35185185185) - different entrainment_VOT385.121233859397",1.2636337455651,3.46125177276234,Inf,0.365079985081993,0.999156408971667
"(different entrainment_VOT-1596.35185185185) - (same entrainment_VOT-99.0857142857144)",-1.35416278736905,2.6431539346018,Inf,-0.512328385283041,0.995722498628792
"(different entrainment_VOT-1596.35185185185) - (different entrainment_VOT-99.0857142857144)",-1.42477361459145,2.58821860842977,Inf,-0.55048426355911,0.994007882486272
"(different entrainment_VOT-1596.35185185185) - same entrainment_VOT385.121233859397",-0.773667936610687,3.38149479927768,Inf,-0.228794655185024,0.999914724697844
"(different entrainment_VOT-1596.35185185185) - different entrainment_VOT385.121233859397",-1.88553691271855,3.42523308573395,Inf,-0.55048426355911,0.994007882486272
"(same entrainment_VOT-99.0857142857144) - (different entrainment_VOT-99.0857142857144)",-0.0706108272223939,0.381240347212019,Inf,-0.18521341651996,0.999970056929913
"(same entrainment_VOT-99.0857142857144) - same entrainment_VOT385.121233859397",0.580494850758367,0.901187804103977,Inf,0.644144148550185,0.987627778990578
"(same entrainment_VOT-99.0857142857144) - different entrainment_VOT385.121233859397",-0.531374125349498,0.894428081136024,Inf,-0.594093741639455,0.991461890892339
"(different entrainment_VOT-99.0857142857144) - same entrainment_VOT385.121233859397",0.651105677980761,1.00576345159648,Inf,0.647374566004798,0.987342935407862
"(different entrainment_VOT-99.0857142857144) - different entrainment_VOT385.121233859397",-0.460763298127105,0.837014477304179,Inf,-0.55048426355911,0.994007882486272
"same entrainment_VOT385.121233859397 - different entrainment_VOT385.121233859397",-1.11186897610787,0.712608486985575,Inf,-1.56028028912652,0.624891172187668
