"contrast","estimate","SE","df","z.ratio","p.value"
"(same entrainment_VOTinv-2.02025433359911) - (different entrainment_VOTinv-2.02025433359911)",-2.96851512367625,1.19703765288172,Inf,-2.47988450198698,0.129997302143835
"(same entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv0.341850180291992",-2.39720779970031,1.47813504468704,Inf,-1.62177861103879,0.584013450036719
"(same entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv0.341850180291992",-2.36599443132883,1.55943005994253,Inf,-1.51721740660561,0.653134026119413
"(same entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv2.25907337840492",-4.34292289285328,2.67787653832204,Inf,-1.62177861103879,0.584013450036719
"(same entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv2.25907337840492",-1.87695313704307,2.52074734042362,Inf,-0.744601851579319,0.976306766021162
"(different entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv0.341850180291992",0.571307323975937,1.4535413067152,Inf,0.393045124577169,0.99879402108426
"(different entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv0.341850180291992",0.602520692347416,1.45466875274355,Inf,0.414197865466653,0.998447278043396
"(different entrainment_VOTinv-2.02025433359911) - same entrainment_VOTinv2.25907337840492",-1.37440776917704,2.42432984184266,Inf,-0.566922761686748,0.993127109443415
"(different entrainment_VOTinv-2.02025433359911) - different entrainment_VOTinv2.25907337840492",1.09156198663317,2.63536362120884,Inf,0.414197865466653,0.998447278043396
"same entrainment_VOTinv0.341850180291992 - different entrainment_VOTinv0.341850180291992",0.0312133683714798,0.387254408147815,Inf,0.0806017122458827,0.999999525370026
"same entrainment_VOTinv0.341850180291992 - same entrainment_VOTinv2.25907337840492",-1.94571509315297,1.199741493635,Inf,-1.62177861103879,0.584013450036719
"same entrainment_VOTinv0.341850180291992 - different entrainment_VOTinv2.25907337840492",0.520254662657235,1.2916612866365,Inf,0.402779480998446,0.998642887753914
"different entrainment_VOTinv0.341850180291992 - same entrainment_VOTinv2.25907337840492",-1.97692846152445,1.22907961040632,Inf,-1.60846249891892,0.592900393866662
"different entrainment_VOTinv0.341850180291992 - different entrainment_VOTinv2.25907337840492",0.489041294285755,1.18069486846529,Inf,0.414197865466653,0.998447278043396
"same entrainment_VOTinv2.25907337840492 - different entrainment_VOTinv2.25907337840492",2.46596975581021,1.03821709889162,Inf,2.37519663126606,0.16492750388825
