"target_label","partner_type","mean","sd","sem","n"
"Roboter","same",0.854545454545454,0.355807991196553,0.0479771397456077,55
"Roboter","different",0.833333333333333,0.376177396931639,0.0511912597361626,54
"Wolf","same",0.763636363636364,0.428763785595733,0.0578144970555725,55
"Wolf","different",0.5,0.50469493868284,0.0686802819743445,54
"Schloss","same",0.962962962962963,0.190625877092986,0.0259408961471287,54
"Schloss","different",0.844827586206897,0.365231199928332,0.0479572060316654,58
"Rakete","same",0.981132075471698,0.137360563948689,0.0188679245283019,53
"Rakete","different",0.931034482758621,0.255608593705383,0.033563052647744,58
"Axt","same",0.654545454545455,0.479898979268586,0.0647095651638261,55
"Axt","different",0.549019607843137,0.502542555021804,0.0703700331173583,51
"Fuchs","same",0.827586206896552,0.381038794105574,0.0500328448351732,58
"Fuchs","different",0.773584905660377,0.422515790963998,0.0580370073240412,53
"Hut","same",0.942307692307692,0.235435477898709,0.0326490264471987,52
"Hut","different",0.879310344827586,0.328611443719994,0.0431487964717559,58
"Parfüm","same",1,0,0,54
"Parfüm","different",0.982758620689655,0.131306432859723,0.0172413793103448,58
"Zünder","same",0.75,0.436931448752651,0.0583874208121142,56
"Zünder","different",0.566037735849057,0.500362713141644,0.0687301044560324,53
"Hang","same",0.377358490566038,0.489364387372484,0.0672193682258892,53
"Hang","different",0.481481481481481,0.504348664241606,0.0686331599914561,54
"Flasche","same",0.603448275862069,0.493453820246914,0.064793660917625,58
"Flasche","different",0.76,0.4314191105869,0.0610118757258932,50
"Schwein","same",0.981132075471698,0.137360563948689,0.0188679245283019,53
"Schwein","different",0.948275862068966,0.223403795622112,0.0293343554904621,58
"kimono","same",0.821428571428571,0.386459117308221,0.0516427718200872,56
"kimono","different",0.764705882352941,0.42840332837725,0.0599884648657975,51
"Fliege","same",0.907407407407407,0.292582419835719,0.0398154242392376,54
"Fliege","different",0.803921568627451,0.400979193631652,0.0561483178952014,51
"Magnet","same",1,0,0,53
"Magnet","different",1,0,0,55
"Stuhl","same",0.944444444444444,0.231212282322664,0.0314640063308252,54
"Stuhl","different",0.859649122807018,0.350438322025231,0.0464166896677998,57
"Kreisel","same",0.627450980392157,0.488294350314459,0.0683748853888733,51
"Kreisel","different",0.631578947368421,0.486664263392288,0.064460256389031,57
"Grill","same",0.705882352941177,0.460178993308422,0.0644379479417842,51
"Grill","different",0.649122807017544,0.481486836720213,0.0637744894736816,57
"Brunnen","same",0.894736842105263,0.309620189351624,0.0410101959196831,57
"Brunnen","different",0.792452830188679,0.409431621323894,0.0562397584034762,53
"Kamin","same",0.482142857142857,0.504203113061373,0.0673769750864465,56
"Kamin","different",0.622641509433962,0.489364387372484,0.0672193682258892,53
"Flamme","same",0.672413793103448,0.473432076473999,0.0621646771631722,58
"Flamme","different",0.537037037037037,0.503308411506247,0.0684915995245027,54
"Blatt","same",0.653846153846154,0.480384461415261,0.0666173387526491,52
"Blatt","different",0.517857142857143,0.504203113061373,0.0673769750864465,56
"Baum","same",0.814814814814815,0.392095198012781,0.0533573980959359,54
"Baum","different",0.741379310344828,0.441701051064854,0.0579981894057161,58
"Person","same",0.339285714285714,0.477751769485737,0.0638422656193083,56
"Person","different",0.30188679245283,0.463469593242823,0.0636624447009037,53
"Drachen","same",0.245614035087719,0.434276975245143,0.0575213905640526,57
"Drachen","different",0.352941176470588,0.482639799923906,0.0675830899592709,51
"Fenster","same",0.666666666666667,0.475830951430886,0.0647523908238176,54
"Fenster","different",0.68,0.471212071499161,0.0666394502268034,50
"Ruderer","same",0.830188679245283,0.379060024504126,0.0520678987362906,53
"Ruderer","different",0.913793103448276,0.283120627606264,0.0371755596799844,58
"Geist","same",0.745098039215686,0.440142579394539,0.0616322888058891,51
"Geist","different",0.775862068965517,0.420655438791795,0.055234765130792,58
"Sessel","same",0.607142857142857,0.492805380304581,0.0658538889806635,56
"Sessel","different",0.711538461538462,0.457466958478476,0.0634392529086423,52
"Rubin","same",0.862745098039216,0.347540377115365,0.048665386847023,51
"Rubin","different",0.810344827586207,0.395452064286198,0.0519253999284344,58
"Säge","same",0.763636363636364,0.428763785595733,0.0578144970555725,55
"Säge","different",0.903846153846154,0.297678296192606,0.0412805523275076,52
"Treppe","same",0.830188679245283,0.379060024504126,0.0520678987362906,53
"Treppe","different",0.836363636363636,0.37335497772755,0.0503431749267762,55
"Baby","same",0.69811320754717,0.463469593242823,0.0636624447009037,53
"Baby","different",0.672727272727273,0.473542420742244,0.0638524469869863,55
"Gesicht","same",0.725490196078431,0.450707504820988,0.0631116742722787,51
"Gesicht","different",0.785714285714286,0.414039335605413,0.0553283335172488,56
"Fisch","same",0.620689655172414,0.48945319317802,0.0642683528480064,58
"Fisch","different",0.60377358490566,0.493793114632085,0.0678277006998428,53
"Sturz","same",0.614035087719298,0.491149743128752,0.0650543726938216,57
"Sturz","different",0.351851851851852,0.482032152979384,0.0655962674674829,54
"Schlange","same",0.87719298245614,0.331133089266261,0.043859649122807,57
"Schlange","different",0.792452830188679,0.409431621323894,0.0562397584034762,53
"Tür","same",0.87037037037037,0.339049520304525,0.046138795682305,54
"Tür","different",0.859649122807018,0.350438322025231,0.0464166896677998,57
"Mauer","same",0.75,0.436931448752651,0.0583874208121142,56
"Mauer","different",0.566037735849057,0.500362713141644,0.0687301044560324,53
"Pyramide","same",0.851851851851852,0.358582503198747,0.0487968979737137,54
"Pyramide","different",0.87037037037037,0.339049520304525,0.046138795682305,54
"Engel","same",0.905660377358491,0.295097828850303,0.0405348041909113,53
"Engel","different",0.781818181818182,0.416818154279985,0.0562037484575497,55
"Stern","same",0.903846153846154,0.297678296192606,0.0412805523275076,52
"Stern","different",0.793103448275862,0.40861858377397,0.0536542486355517,58
"Tasse","same",0.789473684210526,0.411306372830311,0.0544788599480806,57
"Tasse","different",0.846153846153846,0.364321307478654,0.0505222751868604,52
"Tänzer","same",0.571428571428571,0.499350227145887,0.0667284809281305,56
"Tänzer","different",0.679245283018868,0.471233443114996,0.0647288914977584,53
"Auge","same",0.703703703703704,0.46091089588801,0.0627220284341492,54
"Auge","different",0.788461538461538,0.412383719156125,0.0571873324839981,52
"Tanne","same",0.625,0.488504210459197,0.0652791209833867,56
"Tanne","different",0.722222222222222,0.452108964435865,0.0615242372781098,54
"Frau","same",0.833333333333333,0.376177396931639,0.0511912597361626,54
"Frau","different",0.859649122807018,0.350438322025231,0.0464166896677998,57
"Trichter","same",0.692307692307692,0.46604138242837,0.0646283115705235,52
"Trichter","different",0.654545454545455,0.479898979268586,0.0647095651638261,55
"Kerze","same",0.773584905660377,0.422515790963998,0.0580370073240412,53
"Kerze","different",0.857142857142857,0.3530939318019,0.0471841613625583,56
"Raute","same",0.716981132075472,0.454776297102637,0.0624683286405148,53
"Raute","different",0.666666666666667,0.475830951430886,0.0647523908238176,54
"Klinge","same",0.730769230769231,0.447887617880174,0.0621108373812458,52
"Klinge","different",0.811320754716981,0.394997749437839,0.0542571136212445,53
"Medaille","same",0.903846153846154,0.297678296192606,0.0412805523275076,52
"Medaille","different",0.927272727272727,0.262081797702299,0.0353391023930018,55
"Trophäe","same",0.803921568627451,0.400979193631652,0.0561483178952014,51
"Trophäe","different",0.727272727272727,0.449466574975495,0.0606060606060606,55
"Schwangere","same",0.711538461538462,0.457466958478476,0.0634392529086423,52
"Schwangere","different",0.684210526315789,0.468961418487785,0.0621154573002192,57
"Stein","same",0.714285714285714,0.455842305838552,0.0609144903873173,56
"Stein","different",0.566037735849057,0.500362713141644,0.0687301044560324,53
"Huhn","same",0.807017543859649,0.398147338629992,0.0527359032894757,57
"Huhn","different",0.773584905660377,0.422515790963998,0.0580370073240412,53
