"partner_type","block","error","mean_bSubj","sd_bSubj","sem_bSubj","n_bSubj"
"same","1","compound",0.00844721517798441,0.0172184891274368,0.00238777482442279,52
"same","1","phonologically_related",0.00431776556776557,0.0121014589571997,0.00167817041454255,52
"same","1","semantically_related",0.0542031152608076,0.0481951419812799,0.00668346367852969,52
"same","1","unrelated",0.210483992503223,0.154904874603374,0.021481441084684,52
"same","2","compound",0.00850834350834351,0.0173313354531534,0.00240342379417737,52
"same","2","phonologically_related",0.00511024232178078,0.013108344612492,0.0018178003321843,52
"same","2","semantically_related",0.0476581040042579,0.0420581977058924,0.0058324226300845,52
"same","2","unrelated",0.136821170282709,0.141514582545948,0.0196245416767422,52
"different","1","compound",0.0112674625634492,0.0210353818925949,0.00291708261587376,52
"different","1","phonologically_related",0.000769230769230769,0.00554700196225229,0.000769230769230769,52
"different","1","semantically_related",0.0472391283929745,0.04855171523542,0.00673291149203973,52
"different","1","unrelated",0.229535458038803,0.145538744351788,0.0201825925125776,52
"different","2","compound",0.0104567796875489,0.0193712444523856,0.00268630827471629,52
"different","2","phonologically_related",0.00216414639491563,0.00883312684807743,0.00122493429897772,52
"different","2","semantically_related",0.0440264863341786,0.0485942555745194,0.00673881077565121,52
"different","2","unrelated",0.165562286716133,0.123597416529905,0.0171398778005174,52
