"subjID","partner_type","block","error","rate"
"101","same","1","compound",0.037037037037037
"101","same","1","semantically_related",0.111111111111111
"101","same","1","phonologically_related",0
"101","same","1","unrelated",0.259259259259259
"101","same","2","compound",0.04
"101","same","2","semantically_related",0.12
"101","same","2","phonologically_related",0
"101","same","2","unrelated",0.12
"101","different","1","compound",0
"101","different","1","semantically_related",0.2
"101","different","1","phonologically_related",0
"101","different","1","unrelated",0.48
"101","different","2","compound",0
"101","different","2","semantically_related",0.222222222222222
"101","different","2","phonologically_related",0
"101","different","2","unrelated",0.296296296296296
"102","same","1","compound",0
"102","same","1","semantically_related",0.107142857142857
"102","same","1","phonologically_related",0
"102","same","1","unrelated",0.107142857142857
"102","same","2","compound",0
"102","same","2","semantically_related",0.0714285714285714
"102","same","2","phonologically_related",0
"102","same","2","unrelated",0
"102","different","1","compound",0.0357142857142857
"102","different","1","semantically_related",0.0357142857142857
"102","different","1","phonologically_related",0
"102","different","1","unrelated",0.0357142857142857
"102","different","2","compound",0
"102","different","2","semantically_related",0
"102","different","2","phonologically_related",0
"102","different","2","unrelated",0.0357142857142857
"103","same","1","compound",0
"103","same","1","semantically_related",0.153846153846154
"103","same","1","phonologically_related",0
"103","same","1","unrelated",0.538461538461538
"103","same","2","compound",0.037037037037037
"103","same","2","semantically_related",0.148148148148148
"103","same","2","phonologically_related",0
"103","same","2","unrelated",0.444444444444444
"103","different","1","compound",0
"103","different","1","semantically_related",0.111111111111111
"103","different","1","phonologically_related",0
"103","different","1","unrelated",0.481481481481481
"103","different","2","compound",0
"103","different","2","semantically_related",0.0714285714285714
"103","different","2","phonologically_related",0
"103","different","2","unrelated",0.321428571428571
"104","same","1","compound",0
"104","same","1","semantically_related",0.04
"104","same","1","phonologically_related",0
"104","same","1","unrelated",0.16
"104","same","2","compound",0
"104","same","2","semantically_related",0.0714285714285714
"104","same","2","phonologically_related",0
"104","same","2","unrelated",0.0714285714285714
"104","different","1","compound",0
"104","different","1","semantically_related",0
"104","different","1","phonologically_related",0
"104","different","1","unrelated",0.37037037037037
"104","different","2","compound",0
"104","different","2","semantically_related",0.0384615384615385
"104","different","2","phonologically_related",0
"104","different","2","unrelated",0.153846153846154
"105","same","1","compound",0
"105","same","1","semantically_related",0
"105","same","1","phonologically_related",0
"105","same","1","unrelated",0.416666666666667
"105","same","2","compound",0
"105","same","2","semantically_related",0.0769230769230769
"105","same","2","phonologically_related",0
"105","same","2","unrelated",0.115384615384615
"105","different","1","compound",0
"105","different","1","semantically_related",0.08
"105","different","1","phonologically_related",0
"105","different","1","unrelated",0.4
"105","different","2","compound",0
"105","different","2","semantically_related",0.0769230769230769
"105","different","2","phonologically_related",0
"105","different","2","unrelated",0.346153846153846
"106","same","1","compound",0
"106","same","1","semantically_related",0
"106","same","1","phonologically_related",0
"106","same","1","unrelated",0.692307692307692
"106","same","2","compound",0
"106","same","2","semantically_related",0.037037037037037
"106","same","2","phonologically_related",0
"106","same","2","unrelated",0.481481481481481
"106","different","1","compound",0
"106","different","1","semantically_related",0.0357142857142857
"106","different","1","phonologically_related",0
"106","different","1","unrelated",0.25
"106","different","2","compound",0.0357142857142857
"106","different","2","semantically_related",0
"106","different","2","phonologically_related",0
"106","different","2","unrelated",0.321428571428571
"108","same","1","compound",0
"108","same","1","semantically_related",0.0714285714285714
"108","same","1","phonologically_related",0
"108","same","1","unrelated",0.178571428571429
"108","same","2","compound",0.037037037037037
"108","same","2","semantically_related",0.037037037037037
"108","same","2","phonologically_related",0
"108","same","2","unrelated",0.0740740740740741
"108","different","1","compound",0.0357142857142857
"108","different","1","semantically_related",0.0714285714285714
"108","different","1","phonologically_related",0
"108","different","1","unrelated",0.285714285714286
"108","different","2","compound",0
"108","different","2","semantically_related",0.0740740740740741
"108","different","2","phonologically_related",0
"108","different","2","unrelated",0.296296296296296
"109","same","1","compound",0
"109","same","1","semantically_related",0
"109","same","1","phonologically_related",0
"109","same","1","unrelated",0.192307692307692
"109","same","2","compound",0
"109","same","2","semantically_related",0
"109","same","2","phonologically_related",0
"109","same","2","unrelated",0.153846153846154
"109","different","1","compound",0
