"subjID","partner_type","block","mean","sd","sem","n"
"101","same","1",1672.4375,537.860324960548,134.465081240137,16
"101","same","2",1328.94444444444,353.268348630033,83.26614829829,18
"101","different","1",1665.25,277.03519631989,97.9467329725703,8
"101","different","2",1841.30769230769,474.970066533212,131.732994553541,13
"102","same","1",1806.59090909091,785.457261975221,167.460050919833,22
"102","same","2",1520.61538461538,512.809834299076,100.570282763587,26
"102","different","1",1598.48,449.326636943178,89.8653273886356,25
"102","different","2",1399.92592592593,382.302329609788,73.5741176373441,27
"103","same","1",1429.375,468.884675891326,165.775766958607,8
"103","same","2",1324.8,361.455329958704,114.30221150772,10
"103","different","1",1802.27272727273,716.30930343101,215.975381211045,11
"103","different","2",1699.58823529412,1038.05088138922,251.764319337251,17
"104","same","1",1596.55,560.850995785587,125.410095182502,20
"104","same","2",1319.625,552.692367652087,112.817857123195,24
"104","different","1",2096.11764705882,1098.43370773758,266.40930586711,17
"104","different","2",1359.28571428571,352.517112046656,76.9255404629061,21
"105","same","1",1163.28571428571,384.152499480536,102.66907409493,14
"105","same","2",1366.95238095238,479.711942335239,104.681727977406,21
"105","different","1",1394.69230769231,478.304711910616,132.657858776135,13
"105","different","2",1375.8,461.609018233273,119.186936005108,15
"106","same","1",1873.5,346.148605576936,122.382013150859,8
"106","same","2",1571.15384615385,411.256579715115,114.062052733445,13
"106","different","1",1603.75,451.27840339243,100.908918676305,20
"106","different","2",1277.61111111111,437.765198800734,103.182246879825,18
"108","same","1",1323.19047619048,284.949051419305,62.1809808254681,21
"108","same","2",1182.52173913043,313.396622010747,65.3477130060375,23
"108","different","1",1899.82352941176,897.215570201367,217.606739111119,17
"108","different","2",1489.23529411765,472.762298810375,114.661699635588,17
"109","same","1",1428.38095238095,520.117917033289,113.499034528943,21
"109","same","2",1252.81818181818,295.09734251335,62.9149648184832,22
"109","different","1",1555.15,341.948176282837,76.4619366950504,20
"109","different","2",1482.42857142857,485.598246643104,105.966224884755,21
"110","same","1",1409.86666666667,485.272657771847,125.296861461345,15
"110","same","2",1326,458.156582999147,95.5322514504587,23
"110","different","1",1265.90476190476,372.942744233201,81.3827788253903,21
"110","different","2",1191.03846153846,357.040779829893,70.021457826962,26
"111","same","1",1268.69230769231,305.197035977139,84.6464278719385,13
"111","same","2",1129.29411764706,269.816086600179,65.4400132084318,17
"111","different","1",1357.14285714286,540.226182789606,117.887017858591,21
"111","different","2",991.4,162.164438959835,36.2610709047305,20
"112","same","1",1636.5,674.506486254951,150.82423545306,20
"112","same","2",1386.9,493.787925925162,110.414336883729,20
"112","different","1",1828.0625,1028.06286894333,257.015717235834,16
"112","different","2",1652.80952380952,628.226361994434,137.090231305058,21
"113","same","1",1734.27777777778,477.791463932264,112.616528046517,18
"113","same","2",1644.81818181818,464.124432859863,98.9516615638641,22
"113","different","1",2878.125,1391.1625773671,347.790644341774,16
"113","different","2",1874.78947368421,631.415304335987,144.856605421345,19
"114","same","1",1717.36842105263,601.413816724698,137.973792123792,19
"114","same","2",1385.54166666667,372.949230624208,76.1279429160729,24
"114","different","1",1266.26086956522,377.820450068705,78.7810097648562,23
"114","different","2",1337.03846153846,734.577020101731,144.062406143676,26
"115","same","1",1921.77777777778,780.64921343997,260.21640447999,9
"115","same","2",1973.11111111111,1364.57607377204,454.858691257346,9
"115","different","1",1645.625,731.788482645999,182.9471206615,16
"115","different","2",1542.64285714286,714.396636991703,190.930532420462,14
"116","same","1",1334.70833333333,467.32973920448,95.393283556576,24
"116","same","2",1180.45833333333,540.572561124388,110.343911975352,24
"116","different","1",1523.23076923077,377.214385075241,104.620446710108,13
"116","different","2",1232.44444444444,210.093318823753,49.5194701407543,18
"117","same","1",1405.63157894737,441.253166249429,101.230418957822,19
"117","same","2",1192,282.951176744421,63.2698065514083,20
"117","different","1",1571.35294117647,420.981730775884,102.103067202606,17
"117","different","2",1423.82352941176,329.217108321795,79.8468771394808,17
"118","same","1",1756.83333333333,1316.95384929635,310.408999115725,18
"118","same","2",1506.21052631579,760.512588758936,174.473553667932,19
"118","different","1",1370.63157894737,461.740091697377,105.930441994214,19
"118","different","2",1198.17391304348,314.240737503461,65.5237232533973,23
"120","same","1",1365.5,340.237385160522,69.4506654218391,24
"120","same","2",1107.26923076923,250.079116711861,49.044549848301,26
"120","different","1",1685.85714285714,650.506294789251,173.855120217225,14
"120","different","2",1401.83333333333,683.832302284017,161.180819379812,18
"121","same","1",1113.42857142857,381.514163751304,83.2532159089586,21
"121","same","2",978.583333333333,225.625105885398,46.0555318817209,24
"121","different","1",1244.5,542.545323978954,191.818738843286,8
"121","different","2",1176.75,425.965454211745,122.965634827316,12
"122","same","1",1641.14285714286,682.245033484514,182.337654937655,14
"122","same","2",1492.75,484.726279243733,108.388091086953,20
"122","different","1",1219.83333333333,359.674730506198,84.7761469874588,18
"122","different","2",1128.73913043478,366.658153572272,76.4535100513712,23
"123","same","1",1390,558.060672584724,144.09064607293,15
"123","same","2",1195.10526315789,279.638833485234,64.1535482027228,19
"123","different","1",1143.55555555556,221.164111244488,42.5630530540298,27
"123","different","2",1044.61538461538,149.190636951004,29.2586911176348,26
"124","same","1",1348.7,507.51428292061,113.483643616254,20
"124","same","2",1133.41666666667,245.955265757054,50.2054083879513,24
"124","different","1",1593.92857142857,548.304724973779,146.540601742942,14
"124","different","2",1546.05555555556,965.535540042399,227.578909280199,18
"125","same","1",1478.66666666667,592.880343281235,121.021193297096,24
"125","same","2",1454.84,501.49556993723,100.299113987446,25
"125","different","1",1954.3125,572.583119875767,143.145779968942,16
"125","different","2",1648.3,569.042233193543,127.241711548905,20
"126","same","1",1957.29411764706,872.728463262334,211.667743324329,17
"126","same","2",1432.75,495.251012911103,110.741493079485,20
"126","different","1",1782.625,932.427398385992,190.330945686374,24
"126","different","2",1444.84615384615,638.839303256003,125.286695128938,26
"127","same","1",1441.9375,416.359695255597,104.089923813899,16
"127","same","2",1417.65384615385,477.935388294919,93.7308411981669,26
"127","different","1",1447.25,530.258448060123,108.238552462283,24
"127","different","2",1309.28,447.079832542989,89.4159665085977,25
"128","same","1",1174.30434782609,310.812342504226,64.8088534789756,23
"128","same","2",1084.5,434.008963041087,85.116160446949,26
"128","different","1",1352.5652173913,521.983178594079,108.841016632194,23
"128","different","2",1082.82608695652,200.663592787421,41.8412514726564,23
"130","same","1",1850.33333333333,1022.43918271599,240.991226483103,18
"130","same","2",2124.24,2746.94533800729,549.389067601459,25
"130","different","1",1803.16666666667,510.815869899494,120.400455181212,18
"130","different","2",1588.69565217391,708.881861857917,147.812086060992,23
"131","same","1",1617.34615384615,536.402009116871,105.197088908358,26
"131","same","2",1302.46153846154,284.053407762587,55.7074565032292,26
"131","different","1",1971.36363636364,914.54550489272,194.981756782931,22
"131","different","2",1289.76,330.578442531673,66.1156885063346,25
"132","same","1",2012.20833333333,1523.40479587713,310.963701800645,24
"132","same","2",1469.17391304348,617.052278039707,128.664294198033,23
"132","different","1",2160.5,1254.09310910944,280.423744208278,20
"132","different","2",1691.88,652.422046429048,130.48440928581,25
"133","same","1",1477.86956521739,654.277832586004,136.426358892203,23
"133","same","2",1224.54545454545,434.276599072716,92.5880820187813,22
"133","different","1",2028.875,1495.78375776714,373.945939441786,16
"133","different","2",1501.875,796.897557197076,199.224389299269,16
"134","same","1",2409.47368421053,1323.43405865284,303.616595795138,19
"134","same","2",1807.04347826087,560.333543384561,116.837620475356,23
"134","different","1",2616.08333333333,1538.70018314914,314.085859653534,24
"134","different","2",1687.95652173913,1105.81625459785,230.578628382259,23
"135","same","1",2275.96,996.121958731292,199.224391746259,25
"135","same","2",1517.42307692308,416.531215932436,81.6884922330778,26
"135","different","1",1990.92,861.608279130758,172.321655826152,25
"135","different","2",1504.39285714286,595.292915094666,112.499786469941,28
"136","same","1",1313.28571428571,377.022697308417,82.2730975777259,21
"136","same","2",1206.84,531.878798850515,106.375759770103,25
"136","different","1",1922.85,851.868180746541,190.483516001834,20
"136","different","2",1357.4347826087,649.106576631363,135.348077486882,23
"137","same","1",1658.80769230769,676.225170737131,132.618666968125,26
"137","same","2",1487.11111111111,640.546961788447,123.273320272386,27
"137","different","1",2455.64,1290.90207090494,258.180414180988,25
"137","different","2",1764.85185185185,915.762343359711,176.238545150817,27
"138","same","1",2472.23076923077,1538.3532945895,426.662437186261,13
"138","same","2",2752.875,2682.89696348307,670.724240870767,16
"138","different","1",3799.33333333333,3369.87250995247,735.366469486095,21
"138","different","2",2222.63157894737,1462.12654151131,335.434833532443,19
"139","same","1",1947.72727272727,1329.80593578154,283.515578122568,22
"139","same","2",1348.96,769.515945253898,153.90318905078,25
"139","different","1",1385.20833333333,522.162475061469,106.585968894112,24
"139","different","2",1327.34615384615,613.003487253226,120.219874746332,26
"140","same","1",1418.15384615385,351.126950524473,68.8616604797159,26
"140","same","2",1149.96153846154,180.324037392519,35.3644532859341,26
"140","different","1",1696.63157894737,941.156806543375,215.916179460423,19
"140","different","2",1188.66666666667,335.628821590687,79.1084719028081,18
"141","same","1",2036.96153846154,1652.20578574872,324.024213153985,26
"141","same","2",1309.03846153846,523.753795653586,102.716570167536,26
